school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
Idaho State Bengals,Idaho State,Ben Wilson,G,77,200,JR,--,--,Big Sky,0,0
Idaho State Bengals,Idaho State,Andre Slavik,F-C,81,210,FR,--,--,Big Sky,0,0
Idaho State Bengals,Idaho State,Clint Thomas,G,73,185,SO,--,--,Big Sky,0,0
Idaho State Bengals,Idaho State,Ayibakuro Preh,C,81,218,SR,--,--,Big Sky,0,0
Montana Grizzlies,Montana,Jack Lopez,G-F,77,200,FR,--,--,Big Sky,0,0
Montana Grizzlies,Montana,Martin Breunig,F,80,210,JR,"Leverkusen, Germany",Germany,Big Sky,0,0
North Dakota,North Dakota,Cole Stefan,G,75,190,JR,--,--,Big Sky,0,0
North Dakota,North Dakota,Lenny Antwi,G,73,185,JR,"Montreal, PQ",PQ,Big Sky,0,0
North Dakota,North Dakota,Estan Tyler,G,73,175,JR,--,--,Big Sky,0,0
Portland State Vikings,Portland State,Tiegbe Bamba,F,78,205,JR,--,--,Big Sky,0,0
Portland State Vikings,Portland State,Sebastian Suarez,G,76,210,JR,--,--,Big Sky,0,0
Sacramento State Hornets,Sacramento St,Eric Stuteville,C,83,240,FR,--,--,Big Sky,0,0
Campbell Fighting Camels,Campbell,Leek Leek,F,78,215,SR,--,--,Big South,0,0
Campbell Fighting Camels,Campbell,Antonio Kalpic,C,81,220,SR,"Sibenik, Croatia",Croatia,Big South,0,0
Charleston Southern Buccaneers,Charl Southern,Will Saunders,F,79,190,JR,"London, England",England,Big South,0,0
Charleston Southern Buccaneers,Charl Southern,Paul Gombwer,F,78,217,JR,--,--,Big South,0,0
Charleston Southern Buccaneers,Charl Southern,Alhaji Fullah,F-C,80,235,SR,"London, England",England,Big South,0,0
Charleston Southern Buccaneers,Charl Southern,Ty'Quan Biting,NA,0,0, -- ,--,--,Big South,0,0
Coastal Carolina Chanticleers,Coast Carolina,El Hadji Ndieguene,C,82,240,SR,--,--,Big South,0,0
Coastal Carolina Chanticleers,Coast Carolina,Michel Enanga,F,78,215,SO,"Yaounde, Cameroon",Cameroon,Big South,0,0
Coastal Carolina Chanticleers,Coast Carolina,Uros Ljeskovic,F,80,240,SO,--,--,Big South,0,0
Coastal Carolina Chanticleers,Coast Carolina,Tristian Curtis,F,79,220,SO,"Nassau, Bahamas",Bahamas,Big South,0,0
Coastal Carolina Chanticleers,Coast Carolina,Badou Diagne,F,79,220,SO,"Dakar, Senegal",Senegal,Big South,0,0
Coastal Carolina Chanticleers,Coast Carolina,Kyle Buffkin,C,82,235,FR,--,--,Big South,0,0
Gardner-Webb Runnin' Bulldogs,Gardner-Webb,Kevin Hartley,NA,0,0, -- ,--,--,Big South,0,0
High Point Panthers,High Point,Jorge Perez-Laham,G,73,187,FR,"Canovanas, Puerto Rico",Puerto Rico,Big South,0,0
High Point Panthers,High Point,Matteo Bellusci,G,75,170,SO,"Calgary, AB",AB,Big South,0,0
Liberty Flames,Liberty,Tomasz Gielo,F,81,225,JR,--,--,Big South,0,0
Liberty Flames,Liberty,JR Coronado,F,80,245,SR,"Caracas, ",,Big South,0,0
Liberty Flames,Liberty,Sommy Ogukwe,F,79,230,JR,--,--,Big South,0,0
Longwood Lancers,Longwood,Jeff Havenstein,F,80,230,SR,--,--,Big South,0,0
Presbyterian Blue Hose,Presbyterian,Markus Terry,G,73,200,FR,--,--,Big South,0,0
UNC Asheville Bulldogs,UNC Asheville,Mike Bedulskis,F,81,220,FR,"Vilnius, Lithuania",Lithuania,Big South,0,0
UNC Asheville Bulldogs,UNC Asheville,Chudier Pal,C,81,240,JR,--,--,Big South,0,0
UNC Asheville Bulldogs,UNC Asheville,Giacomo Zilli,F,81,225,FR,"Udine, Italy",Italy,Big South,0,0
Virginia Military Keydets,VMI,Phillip Anglade,F,77,210,SO,--,--,Big South,0,0
Winthrop Eagles,Winthrop,Moore Moore Keon,G,0,0,JR,--,--,Big South,0,0
Winthrop Eagles,Winthrop,Ivan Saicic,F,79,205,FR,--,--,Big South,0,0
Winthrop Eagles,Winthrop,Larry Brown,F,78,210,JR,--,--,Big South,0,0
Indiana Hoosiers,Indiana,Hanner Mosquera-Perea,F,81,225,SO,--,--,Big Ten,0,0
Indiana Hoosiers,Indiana,Peter Jurkin,C,84,230,SO,--,--,Big Ten,0,0
Iowa Hawkeyes,Iowa,Gabriel Olaseni,C,82,225,JR,"London, England",England,Big Ten,0,0
Michigan Wolverines,Michigan,Glenn Robinson III,F,78,220,SO,--,--,Big Ten,0,0
Michigan Wolverines,Michigan,Nik Stauskas,G,78,205,SO,"Mississauga, ON",ON,Big Ten,0,0
Michigan Wolverines,Michigan,Derrick Walton Jr,G,0,0, -- ,--,--,Big Ten,0,0
Minnesota Golden Gophers,Minnesota,Kendal Shell,G,72,185,JR,--,--,Big Ten,0,0
Minnesota Golden Gophers,Minnesota,Oto Osenieks,F,80,220,JR,--,--,Big Ten,0,0
Minnesota Golden Gophers,Minnesota,Maurice Walker,F,82,250,JR,"Scarborough, ON",ON,Big Ten,0,0
Nebraska Cornhuskers,Nebraska,Sergej Vucetic,C,85,238,SO,--,--,Big Ten,0,0
Nebraska Cornhuskers,Nebraska,Leslee Smith,F,80,255,JR,--,--,Big Ten,0,0
Nebraska Cornhuskers,Nebraska,Tai Webster,G,76,194,FR,"Auckland, New Zealand",New Zealand,Big Ten,0,0
Northwestern Wildcats,Northwestern,Alex Olah,C,84,265,SO,--,--,Big Ten,0,0
Northwestern Wildcats,Northwestern,Nikola Cerina,F,81,235,SR,--,--,Big Ten,0,0
Ohio State Buckeyes,Ohio State,Amedeo Della Valle,G,77,190,SO,--,--,Big Ten,0,0
Penn State Nittany Lions,Penn State,Jack Jack Donovan,C,0,0, -- ,--,--,Big Ten,0,0
Purdue Boilermakers,Purdue,Kendall Stephens,G,78,193,FR,--,--,Big Ten,0,0
Purdue Boilermakers,Purdue,Rapheal Davis,G,77,211,SO,--,--,Big Ten,0,0
Wisconsin Badgers,Wisconsin,Sam Dekker,F,80,220,SO,--,--,Big Ten,0,0
Cal Poly Mustangs,Cal Poly,Alberto Ganis,F,77,211,JR,--,--,Big West,0,0
Cal Poly Mustangs,Cal Poly,Joel Awich,F,79,209,SO,--,--,Big West,0,0
Cal Poly Mustangs,Cal Poly,Zach Gordon,F,80,229,SO,--,--,Big West,0,0
Cal State Fullerton Titans,CS Fullerton,Hidde Vos,G,76,190,FR,--,--,Big West,0,0
Cal State Fullerton Titans,CS Fullerton,Ian Spruce,G,76,185,FR,--,--,Big West,0,0
Cal State Fullerton Titans,CS Fullerton,Floris Versteeg,F-C,81,215,FR,"Amsterdam, Netherlands",Netherlands,Big West,0,0
Cal State Northridge Matadors,CS Northridge,Tre Hale-Edmerson,F-C,81,215,SO,--,--,Big West,0,0
Hawaii Warriors,Hawaii,Niko Filipovich,G,72,160,FR,--,--,Big West,0,0
Hawaii Warriors,Hawaii,Davis Rozitis,C,84,240,SR,--,--,Big West,0,0
Hawaii Warriors,Hawaii,Negus Webster-Chan,G,79,200,SO,"Scarborough, ON",ON,Big West,0,0
Hawaii Warriors,Hawaii,Stefan Jovanovic,C,82,235,FR,--,--,Big West,0,0
Hawaii Warriors,Hawaii,Michael Harper,G,76,200,SO,--,--,Big West,0,0
Hawaii Warriors,Hawaii,Christian Standhardinger,F,80,220,SR,"Munich, Germany",Germany,Big West,0,0
Hawaii Warriors,Hawaii,Isaac Fotu,F,80,230,SO,--,--,Big West,0,0
UC Davis Aggies,UC Davis,Iggy Nujic,F,80,215,JR,--,--,Big West,0,0
UC Davis Aggies,UC Davis,Georgi Funtarov,F,80,205,FR,"Sofia, Bulgaria",Bulgaria,Big West,0,0
UC Davis Aggies,UC Davis,Ivan Nikolic,F,78,200,FR,"London, England",England,Big West,0,0
UC Davis Aggies,UC Davis,Olivier-Paul Betu,NA,74,175,SO,"Montreal, PQ",PQ,Big West,0,0
UC Irvine Anteaters,UC Irvine,Luke Nelson,G,75,182,FR,"Worthing, England",England,Big West,0,0
UC Irvine Anteaters,UC Irvine,Ioannis Dimakopoulos,F-C,86,255,FR,--,--,Big West,0,0
UC Irvine Anteaters,UC Irvine,Mamadou Ndiaye,C,90,290,FR,"Dakar, Senegal",Senegal,Big West,0,0
UC Irvine Anteaters,UC Irvine,Ege Mala,F,79,210,FR,--,--,Big West,0,0
UC Riverside Highlanders,UC Riverside,Chris Patton,C,82,245,SR,--,--,Big West,0,0
UC Riverside Highlanders,UC Riverside,Kristopher Acevado,NA,0,0, -- ,--,--,Big West,0,0
UC Riverside Highlanders,UC Riverside,Tre Owens,NA,78,185,SO,"Rota, Spain",Spain,Big West,0,0
UC Santa Barbara Gauchos,UC Santa Barbara,Alex Hart,F,82,215,FR,"Kelowna, BC",BC,Big West,0,0
Charleston Cougars,Charleston,Adjehi Baru,F,81,225,JR,"Abidjan, Ivory Coast",Ivory Coast,Colonial,0,0
Delaware Fightin Blue Hens,Delaware,Davon Usher,G,78,200,SR,--,--,Colonial,0,0
Drexel Dragons,Drexel,Stevan Manojlovic,G,77,197,SR,"Toronto, ON",ON,Colonial,0,0
Drexel Dragons,Drexel,Goran Pantovic,F,82,225,SR,--,--,Colonial,0,0
Drexel Dragons,Drexel,Mohamed Bah,F,81,225,FR,"Bamako, Mali",Mali,Colonial,0,0
Hofstra Pride,Hofstra,Jamall Robinson,G-F,77,210,FR,--,--,Colonial,0,0
