school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
Indiana State Sycamores,Indiana State,Alex Etherington,G-F,77,205,FR,"Cicero, IN",IN,Missouri Valley,18057,18
Alabama Crimson Tide,Alabama,Dakota Slaughter,F,78,215,JR,"Fishers, IN",IN,SEC,18057,18
UMKC Kangaroos,UMKC,Jacobby Bledsoe,G,70,165,FR,"Fishers, IN",IN,WAC,18057,18
Green Bay Phoenix,Green Bay,Daniel Turner,F,78,220,SR,"McCordsville, IN",IN,Horizon,18059,18
IUPUI Jaguars,IUPUI,P.J. Hubert,G,77,200,SR,"Greenfield, IN",IN,Summit League,18059,18
Notre Dame Fighting Irish,Notre Dame,Austin Burgett,F,81,227,SO,"Avon, IN",IN,ACC,18063,18
Purdue Boilermakers,Purdue,Travis Carroll,F,81,247,SR,"Danville, IN",IN,Big Ten,18063,18
Wright State Raiders,Wright State,Kendall Griffin,G,76,210,JR,"Avon, IN",IN,Horizon,18063,18
Butler Bulldogs,Butler,Steven Bennett,G,74,175,FR,"New Castle, IN",IN,Big East,18065,18
Evansville Aces,Evansville,D.J. Balentine,G,74,205,SO,"Kokomo, IN",IN,Missouri Valley,18067,18
Indiana Hoosiers,Indiana,Jonny Marlin,G,70,162,SO,"Greenwood, IN",IN,Big Ten,18081,18
IPFW Mastodons,IPFW,Joe Reed,F,79,205,SO,"Greenwood, IN",IN,Summit League,18081,18
IUPUI Jaguars,IUPUI,Mitch Patton,C,81,248,SR,"Vincennes, IN",IN,Summit League,18083,18
Southern Methodist Mustangs,SMU,Nic Moore,G,69,170,SO,"Winona Lake, IN",IN,American,18085,18
Duke Blue Devils,Duke,Marshall Plumlee,C,84,260,SO,"Warsaw, IN",IN,ACC,18085,18
IPFW Mastodons,IPFW,Jared Bloom,G,72,175,FR,"Warsaw, IN",IN,Summit League,18085,18
Duquesne Dukes,Duquesne,Jeremiah Jones,F,75,190,SO,"Gary, IN",IN,Atlantic 10,18089,18
Florida Gulf Coast Eagles,Florida Gulf Coast,Nick Pellar,F,78,205,SO,"Munster, IN",IN,Atlantic Sun,18089,18
DePaul Blue Demons,DePaul,DeJuan Marrero,F,77,219,FR,"Gary, IN",IN,Big East,18089,18
DePaul Blue Demons,DePaul,R.J. Curington,G,76,205,FR,"Dyer, IN",IN,Big East,18089,18
Michigan Wolverines,Michigan,Spike Albrecht,G,71,175,SO,"Crown Point, IN",IN,Big Ten,18089,18
Michigan State Spartans,Michigan State,Branden Dawson,G-F,78,225,JR,"Gary, IN",IN,Big Ten,18089,18
Purdue Boilermakers,Purdue,Anfernee Brown,G,73,190,FR,"East Chicago, IN",IN,Big Ten,18089,18
William & Mary Tribe,William & Mary,Michael Schlotman,G,76,190,FR,"Munster, IN",IN,Colonial,18089,18
Valparaiso Crusaders,Valparaiso,Nick Davidson,G,75,200,FR,"Merrillville, IN",IN,Horizon,18089,18
Ball State Cardinals,Ball State,Chris Bond,F,76,196,SR,"Gary, IN",IN,Mid-American,18089,18
Ball State Cardinals,Ball State,Kameran Madison,G,69,185,JR,"Gary, IN",IN,Mid-American,18089,18
Western Michigan Broncos,W Michigan,Austin Richie,G,75,185,JR,"Lowell, IN",IN,Mid-American,18089,18
Loyola (IL) Ramblers,Loyola (IL),Joe Crisman,G,76,195,JR,"Munster, IN",IN,Missouri Valley,18089,18
Robert Morris Colonials,Robert Morris,Stephan Hawkins,F,81,205,SO,"Gary, IN",IN,Northeast,18089,18
IUPUI Jaguars,IUPUI,Josh James,F-C,81,225,FR,"Cedar Lake, IN",IN,Summit League,18089,18
IUPUI Jaguars,IUPUI,Elijah Ray,F,78,232,FR,"Gary, IN",IN,Summit League,18089,18
Western Illinois Leathernecks,W Illinois,Mike Miklusak,F,78,190,FR,"Dyer, IN",IN,Summit League,18089,18
Santa Clara Broncos,Santa Clara,Brandon Clark,G,72,170,JR,"East Chicago, IN",IN,West Coast,18089,18
Cal State Bakersfield Roadrunners,CSU Bakersfield,Jaylin Airington,G,76,180,SO,"East Chicago, IN",IN,WAC,18089,18
Texas-Pan American Broncs,TX-Pan American,Jacob Raspopovich,G,73,165,FR,"Merrillville, IN",IN,WAC,18089,18
New Mexico Lobos,New Mexico,Obij Aget,C,85,220,FR,"La Porte, IN",IN,Mountain West,18091,18
Butler Bulldogs,Butler,Kellen Dunham,G,78,185,SO,"Pendleton, IN",IN,Big East,18095,18
Auburn Tigers,Auburn,Asauhn Dixon-Tatum,C,84,226,SR,"Anderson, IN",IN,SEC,18095,18
Vermont Catamounts,Vermont,Dre Wills,G,73,175,FR,"Indianapolis, IN",IN,America East,18097,18
Louisville Cardinals,Louisville,Stephan Van Treese,F,81,245,SR,"Indianapolis, IN",IN,American,18097,18
Syracuse Orange,Syracuse,Ron Patterson,G,74,200,FR,"Broad Ripple, IN",IN,ACC,18097,18
Virginia Tech Hokies,Virginia Tech,Trevor Thompson,F,83,210,FR,"Indianapolis, IN",IN,ACC,18097,18
Mercer Bears,Mercer,Anthony White Jr.,NA,74,170,SR,"Indianapolis, IN",IN,Atlantic Sun,18097,18
West Virginia Mountaineers,West Virginia,Eron Harris,NA,75,195,SO,"Indianapolis, IN",IN,Big 12,18097,18
Georgetown Hoyas,Georgetown,D'Vauntes Smith-Rivera,G,75,218,SO,"Indianapolis, IN",IN,Big East,18097,18
Xavier Musketeers,Xavier,Justin Martin,F,78,205,JR,"Indianapolis, IN",IN,Big East,18097,18
Northern Colorado Bears,N Colorado,Anthony Johnson,G,74,190,FR,"Indianapolis, IN",IN,Big Sky,18097,18
Liberty Flames,Liberty,Joe Retic,G,75,190,SO,"Indianapolis, IN",IN,Big South,18097,18
Indiana Hoosiers,Indiana,Evan Gordon,G,72,192,SR,"Indianapolis, IN",IN,Big Ten,18097,18
Indiana Hoosiers,Indiana,Yogi Ferrell,G,72,178,SO,"Indianapolis, IN",IN,Big Ten,18097,18
Indiana Hoosiers,Indiana,Devin Davis,F,79,221,FR,"Indianapolis, IN",IN,Big Ten,18097,18
Indiana Hoosiers,Indiana,Taylor Wayer,G,70,187,SR,"Indianapolis, IN",IN,Big Ten,18097,18
Indiana Hoosiers,Indiana,Joe Fagan,G,76,195,FR,"Indianapolis, IN",IN,Big Ten,18097,18
Indiana Hoosiers,Indiana,Collin Hartman,F,78,210,FR,"Indianapolis, IN",IN,Big Ten,18097,18
Indiana Hoosiers,Indiana,Jeremy Hollowell,F,80,219,SO,"Indianapolis, IN",IN,Big Ten,18097,18
Purdue Boilermakers,Purdue,Ronnie Johnson,G,72,178,SO,"Indianapolis, IN",IN,Big Ten,18097,18
Purdue Boilermakers,Purdue,Basil Smotherman,F,77,222,FR,"Indianapolis, IN",IN,Big Ten,18097,18
Purdue Boilermakers,Purdue,Errick Peck,F,78,223,SR,"Indianapolis, IN",IN,Big Ten,18097,18
Purdue Boilermakers,Purdue,Terone Johnson,G,76,198,SR,"Indianapolis, IN",IN,Big Ten,18097,18
Cal State Fullerton Titans,CS Fullerton,Josh Gentry,G,76,180,JR,"Indianapolis, IN",IN,Big West,18097,18
Marshall Thundering Herd,Marshall,Ryan Taylor,F,77,225,FR,"Indianapolis, IN",IN,Conference USA,18097,18
Middle Tennessee Blue Raiders,Middle Tennessee,Ronald Ross,G,75,215,JR,"Indianapolis, IN",IN,Conference USA,18097,18
Illinois-Chicago Flames,UIC,Kelsey Barlow,G,77,200,SR,"Indianapolis, IN",IN,Horizon,18097,18
Wright State Raiders,Wright State,Chrishawn Hopkins,G,73,170,JR,"Indianapolis, IN",IN,Horizon,18097,18
Wright State Raiders,Wright State,Steven Davis,F,79,190,FR,"Indianapolis, IN",IN,Horizon,18097,18
Youngstown State Penguins,Youngstown St,Ryan Weber,F,78,200,SO,"Indianapolis, IN",IN,Horizon,18097,18
Ball State Cardinals,Ball State,Zavier Turner,G,69,171,FR,"Indianapolis, IN",IN,Mid-American,18097,18
Kent State Golden Flashes,Kent State,Kellon Thomas,G,71,190,SO,"Indianapolis, IN",IN,Mid-American,18097,18
Northern Illinois Huskies,N Illinois,Daveon Balls,G,72,170,SO,"Indianapolis, IN",IN,Mid-American,18097,18
Maryland-Eastern Shore Hawks,MD-E Shore,Kyree Jones,G,74,200,JR,"Indianapolis, IN",IN,MEAC,18097,18
Savannah State Tigers,Savannah State,Deven Williams,G,72,205,SR,"Indianapolis, IN",IN,MEAC,18097,18
Illinois State Redbirds,Illinois State,Tony Wills,G,75,185,FR,"Indianapolis, IN",IN,Missouri Valley,18097,18
Indiana State Sycamores,Indiana State,Khristian Smith,G-F,78,215,SO,"Indianapolis, IN",IN,Missouri Valley,18097,18
Loyola (IL) Ramblers,Loyola (IL),Jordan Pickett,G,72,165,FR,"Indianapolis, IN",IN,Missouri Valley,18097,18
Tennessee-Martin Skyhawks,UT Martin,Chandler Rowe,F,79,205,FR,"Indianapolis, IN",IN,Ohio Valley,18097,18
Lamar Cardinals,Lamar,Donnell Minton,NA,72,148,SO,"Indianapolis, IN",IN,Southland,18097,18
New Orleans Privateers,New Orleans,Isaac Mack,G,73,170,SR,"Indianapolis, IN",IN,Southland,18097,18
Grambling State Tigers,Grambling St,Richard Freeman,G-F,80,205,FR,"Indianapolis, IN",IN,SWAC,18097,18
Grambling State Tigers,Grambling St,Chandler Thomas,G-F,78,220,SR,"Indianapolis, IN",IN,SWAC,18097,18
IPFW Mastodons,IPFW,Mo Evans,G,71,170,FR,"Indianapolis, IN",IN,Summit League,18097,18
IPFW Mastodons,IPFW,Max Landis,G,74,175,JR,"Indianapolis, IN",IN,Summit League,18097,18
IPFW Mastodons,IPFW,Brent Calhoun,F,80,290,SO,"Indianapolis, IN",IN,Summit League,18097,18
Georgia State Panthers,Georgia State,R.J. Hunter,NA,77,185,SO,"Indianapolis, IN",IN,Sun Belt,18097,18
Valparaiso Crusaders,Valparaiso,Clay Yeo,G-F,76,180,FR,"Bourbon, IN",IN,Horizon,18099,18
Butler Bulldogs,Butler,Erik Fromm,F,80,223,SR,"Bloomington, IN",IN,Big East,18105,18
Xavier Musketeers,Xavier,Dee Davis,G,72,161,JR,"Bloomington, IN",IN,Big East,18105,18
William & Mary Tribe,William & Mary,Julian Boatner,G,74,185,SR,"Bloomington, IN",IN,Colonial,18105,18
William & Mary Tribe,William & Mary,Ben Whitlatch,NA,73,180,SR,"Bloomington, IN",IN,Colonial,18105,18
Belmont Bruins,Belmont,Spencer Turner,G,75,190,JR,"Bloomington, IN",IN,Ohio Valley,18105,18
Michigan Wolverines,Michigan,Mitch McGary,F,82,255,SO,"Chesterton, IN",IN,Big Ten,18127,18
Illinois-Chicago Flames,UIC,Hayden Humes,F,80,216,SR,"Valparaiso, IN",IN,Horizon,18127,18
Loyola (IL) Ramblers,Loyola (IL),Bill Clark,G,76,207,SR,"Valparaiso, IN",IN,Missouri Valley,18127,18
Purdue Boilermakers,Purdue,Neal Beshears,F,79,198,JR,"Winchester, IN",IN,Big Ten,18135,18
Ball State Cardinals,Ball State,Tyler Koch,F,78,206,SR,"Winchester, IN",IN,Mid-American,18135,18
Notre Dame Fighting Irish,Notre Dame,Demetrius Jackson,G,73,195,FR,"Mishawaka, IN",IN,ACC,18141,18
Notre Dame Fighting Irish,Notre Dame,Austin Torres,F,79,218,FR,"Mishawaka, IN",IN,ACC,18141,18
Cornell Big Red,Cornell,Robert Mischler,G,75,183,SO,"Mishawaka, IN",IN,Ivy,18141,18
Ball State Cardinals,Ball State,Bo Calhoun,F,77,233,SO,"South Bend, IN",IN,Mid-American,18141,18
Western Michigan Broncos,W Michigan,Leo Svete,G,77,190,FR,"Granger, IN",IN,Mid-American,18141,18
Belmont Bruins,Belmont,Jeff Laidig,G,76,210,SO,"Mishawaka, IN",IN,Ohio Valley,18141,18
Purdue Boilermakers,Purdue,Stephen Toyra,G,75,177,SO,"Lafayette, IN",IN,Big Ten,18157,18
Ball State Cardinals,Ball State,Jesse Berry,G,74,185,SR,"Lafayette, IN",IN,Mid-American,18157,18
IUPUI Jaguars,IUPUI,Justus Stanback,F,80,220,FR,"West Lafayette, IN",IN,Summit League,18157,18
Saint Louis Billikens,Saint Louis,Mike Crawford,G-F,76,200,FR,"Tipton, IN",IN,Atlantic 10,18159,18
Colgate Raiders,Colgate,Ethan Jacobs,C,83,235,JR,"Tipton, IN",IN,Patriot League,18159,18
Lamar Cardinals,Lamar,Preston Mattingly,G,74,195,FR,"Evansville, IN",IN,Southland,18163,18
Indiana State Sycamores,Indiana State,Justin Gant,F,81,230,JR,"Terre Haute, IN",IN,Missouri Valley,18167,18
Indiana State Sycamores,Indiana State,Jake Odum,G,76,180,SR,"Terre Haute, IN",IN,Missouri Valley,18167,18
Loyola (IL) Ramblers,Loyola (IL),Matt O'Leary,F,80,225,SO,"Terre Haute, IN",IN,Missouri Valley,18167,18
Evansville Aces,Evansville,Blake Simmons,G-F,77,210,FR,"Newburgh, IN",IN,Missouri Valley,18173,18
Eastern Kentucky Colonels,E Kentucky,Eric Stutz,F,80,225,JR,"Newburgh, IN",IN,Ohio Valley,18173,18
Illinois State Redbirds,Illinois State,Nick Zeisloft,G,76,185,SO,"Lagrange, IL",IL,Missouri Valley,17005,17
DePaul Blue Demons,DePaul,Edwind McGhee,G,75,205,SR,"Champaign, IL",IL,Big East,17019,17
Illinois Fighting Illini,Illinois,Rayvonte Rice,G,76,235,JR,"Champaign, IL",IL,Big Ten,17019,17
Purdue Boilermakers,Purdue,Jay Simpson,F,82,250,FR,"Champaign, IL",IL,Big Ten,17019,17
Kent State Golden Flashes,Kent State,Devin Carter,G,76,200,SO,"Champaign, IL",IL,Mid-American,17019,17
Eastern Illinois Panthers,E Illinois,Josh Piper,F,80,225,JR,"Champaign, IL",IL,Ohio Valley,17019,17
Eastern Kentucky Colonels,E Kentucky,Jeff Johnson,F,79,251,SR,"Champaign, IL",IL,Ohio Valley,17019,17
Indiana State Sycamores,Indiana State,Lucas Eitel,G,75,195,SR,"Marshall, IL",IL,Missouri Valley,17023,17
Albany Great Danes,Albany,David Wiegmann,F,80,215,SR,"Breese, IL",IL,America East,17027,17
Austin Peay Governors,Austin Peay,Cory Arentsen,G,77,185,SO,"Breese, IL",IL,Ohio Valley,17027,17
SIU-Edwardsville Cougars,SIU Edwardsville,Keaton Scheer,G,77,188,JR,"Germantown, IL",IL,Ohio Valley,17027,17
Indiana State Sycamores,Indiana State,TJ Bell,F-C,80,240,FR,"Charleston, IL",IL,Missouri Valley,17029,17
Eastern Illinois Panthers,E Illinois,Ethan Miller,G,74,185,FR,"Charleston, IL",IL,Ohio Valley,17029,17
Stony Brook Seawolves,Stony Brook,Rayshaun McGrew,F,79,230,SO,"Chicago, IL",IL,America East,17031,17
Louisville Cardinals,Louisville,Wayne Blackshear,G-F,77,230,JR,"Chicago, IL",IL,American,17031,17
Southern Methodist Mustangs,SMU,Sterling Brown,G,78,200,FR,"Chicago, IL",IL,American,17031,17
Southern Methodist Mustangs,SMU,Crandall Head,G,76,180,JR,"Matteson, IL",IL,American,17031,17
Dayton Flyers,Dayton,Kyle Davis,G,72,165,FR,"Chicago, IL",IL,Atlantic 10,17031,17
Dayton Flyers,Dayton,Kendall Pollard,F,78,210,FR,"Chicago, IL",IL,Atlantic 10,17031,17
Rhode Island Rams,Rhode Island,Mike Powell,G,71,175,JR,"Chicago, IL",IL,Atlantic 10,17031,17
Saint Louis Billikens,Saint Louis,Mike McCall Jr.,G,72,180,SR,"Chicago, IL",IL,Atlantic 10,17031,17
Boston College Eagles,Boston College,Alex Dragicevich,F,79,207,JR,"Northbrook, IL",IL,ACC,17031,17
Clemson Tigers,Clemson,Adonis Filer,G,74,190,SO,"Chicago, IL",IL,ACC,17031,17
Duke Blue Devils,Duke,Jabari Parker,F,80,235,FR,"Chicago, IL",IL,ACC,17031,17
Florida Gulf Coast Eagles,Florida Gulf Coast,Brian Greene Jr.,NA,75,205,SO,"Chicago, IL",IL,Atlantic Sun,17031,17
Iowa State Cyclones,Iowa State,Abdel Nader,F,78,225,JR,"Skokie, IL",IL,Big 12,17031,17
Kansas Jayhawks,Kansas,Jamari Traylor,F,80,220,SO,"Chicago, IL",IL,Big 12,17031,17
Oklahoma Sooners,Oklahoma,D.J. Bennett,F,80,212,JR,"Chicago, IL",IL,Big 12,17031,17
Texas Tech Red Raiders,Texas Tech,Alex Foster,F,80,225,FR,"Chicago, IL",IL,Big 12,17031,17
West Virginia Mountaineers,West Virginia,Tyrone Hughes,G,72,180,SO,"Chicago, IL",IL,Big 12,17031,17
DePaul Blue Demons,DePaul,Tommy Hamilton IV,C,82,284,FR,"Chicago, IL",IL,Big East,17031,17
DePaul Blue Demons,DePaul,Myke Henry,F,78,210,JR,"Chicago, IL",IL,Big East,17031,17
DePaul Blue Demons,DePaul,Billy Garrett Jr.,G,77,194,FR,"Chicago, IL",IL,Big East,17031,17
DePaul Blue Demons,DePaul,Cory Dolins,G,72,182,SO,"Northbrook, IL",IL,Big East,17031,17
DePaul Blue Demons,DePaul,Jamee Crockett,F,76,207,JR,"Chicago, IL",IL,Big East,17031,17
DePaul Blue Demons,DePaul,Peter Ryckbosch,F,81,237,SO,"Chicago, IL",IL,Big East,17031,17
DePaul Blue Demons,DePaul,Charles McKinney,G,75,184,JR,"Evanston, IL",IL,Big East,17031,17
Marquette Golden Eagles,Marquette,"Steve Taylor, Jr.",F,79,235,SO,"Chicago, IL",IL,Big East,17031,17
Marquette Golden Eagles,Marquette,Dylan Flood,G,76,200,JR,"Lemont, IL",IL,Big East,17031,17
St. John's Red Storm,St. John's,Phil Greene IV,G,74,189,JR,"Chicago, IL",IL,Big East,17031,17
Xavier Musketeers,Xavier,James Farr,F,81,237,SO,"Evanston, IL",IL,Big East,17031,17
Xavier Musketeers,Xavier,Landen Amos,G,76,185,SR,"Chicago, IL",IL,Big East,17031,17
Illinois Fighting Illini,Illinois,Jaylon Tate,G,75,160,FR,"Chicago, IL",IL,Big Ten,17031,17
Illinois Fighting Illini,Illinois,Mike LaTulip,G,73,170,SO,"Arlington Heights, IL",IL,Big Ten,17031,17
Illinois Fighting Illini,Illinois,Tracy Abrams,G,74,190,JR,"Chicago, IL",IL,Big Ten,17031,17
Illinois Fighting Illini,Illinois,Kendrick Nunn,G,75,180,FR,"Chicago, IL",IL,Big Ten,17031,17
Illinois Fighting Illini,Illinois,Nnanna Egwu,F-C,83,250,JR,"Chicago, IL",IL,Big Ten,17031,17
Michigan State Spartans,Michigan State,Alvin Ellis III,G,76,195,FR,"Matteson, IL",IL,Big Ten,17031,17
Michigan State Spartans,Michigan State,Gavin Schilling,F,81,240,FR,"Chicago, IL",IL,Big Ten,17031,17
Ohio State Buckeyes,Ohio State,Sam Thompson,F,79,200,JR,"Chicago, IL",IL,Big Ten,17031,17
Cal Poly Mustangs,Cal Poly,Chris Eversley,F,79,229,SR,"Chicago, IL",IL,Big West,17031,17
Hawaii Warriors,Hawaii,Brandon Spearman,G,75,190,SR,"Chicago, IL",IL,Big West,17031,17
Hofstra Pride,Hofstra,Zeke Upshaw,G-F,78,215,SR,"Chicago, IL",IL,Colonial,17031,17
North Carolina-Wilmington Seahawks,UNC-Wilmington,Luke Hager,F,79,205,SO,"Chicago, IL",IL,Colonial,17031,17
William & Mary Tribe,William & Mary,Fred Heldring,F,81,245,SR,"Winnetka, IL",IL,Colonial,17031,17
Green Bay Phoenix,Green Bay,Josh Humphrey,G-F,77,198,SO,"Chicago, IL",IL,Horizon,17031,17
Green Bay Phoenix,Green Bay,Greg Mays,F,81,220,JR,"Chicago, IL",IL,Horizon,17031,17
Green Bay Phoenix,Green Bay,Keifer Sykes,G,71,175,JR,"Chicago, IL",IL,Horizon,17031,17
Green Bay Phoenix,Green Bay,Alfonzo McKinnie,F,80,205,JR,"Chicago, IL",IL,Horizon,17031,17
Green Bay Phoenix,Green Bay,Vincent Garrett,G,78,220,SR,"Chicago, IL",IL,Horizon,17031,17
Illinois-Chicago Flames,UIC,Marcus White,G,71,150,FR,"Chicago, IL",IL,Horizon,17031,17
Illinois-Chicago Flames,UIC,Gabe Snider,G,76,185,SO,"Chicago, IL",IL,Horizon,17031,17
Illinois-Chicago Flames,UIC,Lance Whitaker,G-F,76,195,FR,"Bartlett, IL",IL,Horizon,17031,17
Illinois-Chicago Flames,UIC,Jay Parker,G,70,170,JR,"Harvey, IL",IL,Horizon,17031,17
Illinois-Chicago Flames,UIC,Frank Dounis,G,74,185,FR,"Park Ridge, IL",IL,Horizon,17031,17
Illinois-Chicago Flames,UIC,Ahman Fells,F,77,190,JR,"Chicago, IL",IL,Horizon,17031,17
Valparaiso Crusaders,Valparaiso,LaVonte Dority,G,73,200,SR,"Chicago, IL",IL,Horizon,17031,17
Valparaiso Crusaders,Valparaiso,Lexus Williams,G,71,155,FR,"Chicago, IL",IL,Horizon,17031,17
Valparaiso Crusaders,Valparaiso,Jubril Adekoya,F,79,225,FR,"Tinley Park, IL",IL,Horizon,17031,17
Valparaiso Crusaders,Valparaiso,Keith Carter,G,72,185,SO,"Chicago, IL",IL,Horizon,17031,17
Youngstown State Penguins,Youngstown St,Ronnye Beamon,G,76,195,FR,"Calumet City, IL",IL,Horizon,17031,17
Brown Bears,Brown,Sean McGonagill,G,73,180,SR,"Brookfield, IL",IL,Ivy,17031,17
Dartmouth Big Green,Dartmouth,Connor Boehm,F,79,235,SO,"Winnetka, IL",IL,Ivy,17031,17
Harvard Crimson,Harvard,Alex Nesbitt,G,73,175,JR,"Chicago, IL",IL,Ivy,17031,17
Pennsylvania Quakers,Pennsylvania,Tony Hicks,G,74,170,SO,"South Holland, IL",IL,Ivy,17031,17
Princeton Tigers,Princeton,Brian Fabrizius,F,83,203,JR,"Arlington Heights, IL",IL,Ivy,17031,17
Princeton Tigers,Princeton,Steven Cook,F,77,185,FR,"Winnetka, IL",IL,Ivy,17031,17
Manhattan Jaspers,Manhattan,CJ Jones,G,72,175,SO,"Chicago, IL",IL,MAAC,17031,17
Akron Zips,Akron,Deji Ibitayo,G,76,205,JR,"Chicago, IL",IL,Mid-American,17031,17
Ball State Cardinals,Ball State,Kindon Crowder,G,74,172,SR,"Chicago, IL",IL,Mid-American,17031,17
Ball State Cardinals,Ball State,Rocco Belcaster,F,79,192,SO,"Berwyn, IL",IL,Mid-American,17031,17
Eastern Michigan Eagles,E Michigan,Darell Combs,G,74,175,SO,"South Holland, IL",IL,Mid-American,17031,17
Miami (OH) RedHawks,Miami (OH),Reggie Johnson,G,73,201,SO,"Chicago, IL",IL,Mid-American,17031,17
Northern Illinois Huskies,N Illinois,Aaron Armstead,G,76,195,JR,"Chicago, IL",IL,Mid-American,17031,17
Northern Illinois Huskies,N Illinois,Kevin Gray,F,80,225,JR,"Chicago, IL",IL,Mid-American,17031,17
Northern Illinois Huskies,N Illinois,Keith Gray,F,80,225,JR,"Chicago, IL",IL,Mid-American,17031,17
Northern Illinois Huskies,N Illinois,Aaric Armstead,G,77,190,FR,"Chicago, IL",IL,Mid-American,17031,17
Northern Illinois Huskies,N Illinois,Anthony Johnson,G,75,190,JR,"Chicago, IL",IL,Mid-American,17031,17
Northern Illinois Huskies,N Illinois,Pete Rakocevic,C,83,245,JR,"Chicago, IL",IL,Mid-American,17031,17
Toledo Rockets,Toledo,Julius Brown,G,70,170,JR,"Markham, IL",IL,Mid-American,17031,17
Western Michigan Broncos,W Michigan,Tim Brennan,G-F,77,200,JR,"Chicago, IL",IL,Mid-American,17031,17
Western Michigan Broncos,W Michigan,A.J. Avery,F,79,205,SO,"Chicago, IL",IL,Mid-American,17031,17
Florida A&M Rattlers,Florida A&M,Willie Conner,G,77,185,FR,"Chicago, IL",IL,MEAC,17031,17
Florida A&M Rattlers,Florida A&M,Jamie Adams,G,70,166,SR,"Chicago, IL",IL,MEAC,17031,17
Maryland-Eastern Shore Hawks,MD-E Shore,Issac Smith III,G,73,170,JR,"Chicago, IL",IL,MEAC,17031,17
Norfolk State Spartans,Norfolk State,LaTre'e Russell,F,78,215,JR,"Chicago, IL",IL,MEAC,17031,17
Bradley Braves,Bradley,Mike Shaw,F,80,230,JR,"Chicago, IL",IL,Missouri Valley,17031,17
Bradley Braves,Bradley,Xzavier Taylor,F-C,81,225,FR,"Chicago, IL",IL,Missouri Valley,17031,17
Bradley Braves,Bradley,"Walt Lemon, Jr.",G,75,180,SR,"Chicago, IL",IL,Missouri Valley,17031,17
Bradley Braves,Bradley,Ka'Darryl Bell,G,73,195,SO,"Chicago, IL",IL,Missouri Valley,17031,17
Evansville Aces,Evansville,Mike Leazer,G,75,180,SO,"Mount Prospect, IL",IL,Missouri Valley,17031,17
Illinois State Redbirds,Illinois State,Paris Lee,G,71,165,FR,"Maywood, IL",IL,Missouri Valley,17031,17
Loyola (IL) Ramblers,Loyola (IL),London Dokubo,G,72,170,JR,"Schaumburg, IL",IL,Missouri Valley,17031,17
Loyola (IL) Ramblers,Loyola (IL),Cal Kennedy,F,78,193,FR,"Oak Lawn, IL",IL,Missouri Valley,17031,17
Loyola (IL) Ramblers,Loyola (IL),Milton Doyle,G,76,180,FR,"Chicago, IL",IL,Missouri Valley,17031,17
Loyola (IL) Ramblers,Loyola (IL),Tony Nixon,G,76,207,SR,"South Holland, IL",IL,Missouri Valley,17031,17
Southern Illinois Salukis,S Illinois,K.C Goodwin,G,71,160,FR,"Chicago, IL",IL,Missouri Valley,17031,17
Southern Illinois Salukis,S Illinois,Sean O'Brien,F,78,205,FR,"Chicago, IL",IL,Missouri Valley,17031,17
Boise State Broncos,Boise State,Derrick Marks,G,75,204,JR,"Chicago, IL",IL,Mountain West,17031,17
New Mexico Lobos,New Mexico,Deshawn Delaney,G,77,190,JR,"Chicago, IL",IL,Mountain West,17031,17
San Jose State Spartans,San Jose State,Jalen James,G,75,170,FR,"Chicago, IL",IL,Mountain West,17031,17
Central Connecticut State Blue Devils,Cent Conn St,De'Angelo Speech,G,77,185,SR,"Oak Park, IL",IL,Northeast,17031,17
Fairleigh Dickinson Knights,Fair Dickinson,Malachi Nix,G,68,165,FR,"Evanston, IL",IL,Northeast,17031,17
Fairleigh Dickinson Knights,Fair Dickinson,Scott Kingsley,G,77,190,FR,"Chicago, IL",IL,Northeast,17031,17
Eastern Illinois Panthers,E Illinois,Donald Moore,G,73,185,SO,"Chicago, IL",IL,Ohio Valley,17031,17
Eastern Illinois Panthers,E Illinois,Reggie Smith,G,72,185,JR,"Chicago, IL",IL,Ohio Valley,17031,17
Eastern Illinois Panthers,E Illinois,Alex Austin,G,76,190,SO,"Chicago, IL",IL,Ohio Valley,17031,17
Eastern Illinois Panthers,E Illinois,Chris Olivier,F,80,245,SO,"Chicago, IL",IL,Ohio Valley,17031,17
Eastern Illinois Panthers,E Illinois,Julian Robertson,G,75,190,SO,"Chicago, IL",IL,Ohio Valley,17031,17
Eastern Illinois Panthers,E Illinois,Justin Earls,F,79,210,FR,"Chicago, IL",IL,Ohio Valley,17031,17
Eastern Kentucky Colonels,E Kentucky,Marcus Lewis,G,76,185,SR,"Streamwood, IL",IL,Ohio Valley,17031,17
Jacksonville State Gamecocks,Jacksonville St,Joe Kuligoski,G-F,77,210,FR,"Orland Park, IL",IL,Ohio Valley,17031,17
SIU-Edwardsville Cougars,SIU Edwardsville,Tim Johnson,G,76,200,SR,"Harvey, IL",IL,Ohio Valley,17031,17
SIU-Edwardsville Cougars,SIU Edwardsville,Ray Lester,F,78,235,SR,"Chicago, IL",IL,Ohio Valley,17031,17
Tennessee State Tigers,Tennessee St,Patrick Miller,G,73,195,SR,"Chicago, IL",IL,Ohio Valley,17031,17
Tennessee Tech Golden Eagles,Tennessee Tech,Ty Allen,G,74,180,JR,"Chicago, IL",IL,Ohio Valley,17031,17
Stanford Cardinal,Stanford,Jack Ryan,G-F,80,210,JR,"Glenview, IL",IL,Pac-12,17031,17
