Houston Cougars,Houston,Eric Weary,G,77,210,JR,"New Orleans, LA",LA
Memphis Tigers,Memphis,Trahson Burrell,F,79,200,JR,"Albany, NY",NY
Memphis Tigers,Memphis,Markel Crawford,G,76,197,FR,"Memphis, TN",TN
Memphis Tigers,Memphis,Shaq Goodwin,F,81,228,JR,"Atlanta, GA",GA
Memphis Tigers,Memphis,Pookie Powell,G,73,180,SO,"Orlando, FL",FL
Memphis Tigers,Memphis,Austin Nichols,F,80,228,SO,"Collierville, TN",TN
Memphis Tigers,Memphis,Nick King,G-F,79,226,SO,"Memphis, TN",TN
Memphis Tigers,Memphis,Dominic Magee,G,75,177,FR,"Harvey, LA",LA
Memphis Tigers,Memphis,Chris Hawkins,F,78,230,JR,"Sun Prairie, WI",WI
Memphis Tigers,Memphis,Jordan Manse,G,73,167,FR,"Austin, TX",TX
Memphis Tigers,Memphis,Avery Woodson,G,74,196,SO,"Waynesboro, MS",MS
Memphis Tigers,Memphis,Kuran Iverson,G-F,81,205,SO,"Hartford, CT",CT
Memphis Tigers,Memphis,Jake McDowell,G-F,77,211,SO,"Memphis, TN",TN
South Florida Bulls,South Florida,Dre' Clayton,F,78,245,FR,"Orlando, FL",FL
South Florida Bulls,South Florida,Chris Perry,F-C,80,266,SO,"Bartow, FL",FL
South Florida Bulls,South Florida,Roddy Peters,G,75,195,FR,"District Heights, MD",MD
South Florida Bulls,South Florida,Corey Allen Jr.,G,73,152,SR,"St. Louis, MO",MO
South Florida Bulls,South Florida,Nehemias Morillo,G,78,220,JR,"Santiago, Dominican Republic",Dominican Republic
South Florida Bulls,South Florida,Anthony Collins,G,73,175,SR,"Houston, TX",TX
South Florida Bulls,South Florida,Jake Bodway,G,74,191,FR,"Minneapolis, MN",MN
South Florida Bulls,South Florida,Jaleel Cousins,C,82,260,JR,"Mobile, AL",AL
South Florida Bulls,South Florida,Troy Holston,G,76,187,FR,"Tampa, FL",FL
South Florida Bulls,South Florida,Dinero Mercurius,G,76,165,FR,"Bronx, NY",NY
South Florida Bulls,South Florida,Ruben Guerrero,F-C,82,210,FR,"Malaga, Spain",Spain
South Florida Bulls,South Florida,Bo Zeigler,G-F,78,198,FR,"Detroit, MI",MI
SMU Mustangs,SMU,Ryan Manuel,G,76,185,SR,"Houston, TX",TX
SMU Mustangs,SMU,Yanick Moreira,C,83,220,SR,"Luanda, Angola",Angola
SMU Mustangs,SMU,Sterling Brown,G,78,200,SO,"Maywood, IL",IL
SMU Mustangs,SMU,Keith Frazier,G,77,190,SO,"Dallas, TX",TX
SMU Mustangs,SMU,Markus Kennedy,F,81,245,JR,"Philadelphia, PA",PA
SMU Mustangs,SMU,"Kevin Dunleavy, Jr.",G,75,180,SR,"New Providence, NJ",NJ
SMU Mustangs,SMU,Nic Moore,G,69,170,JR,"Winona Lake, IN",IN
SMU Mustangs,SMU,Cannen Cunningham,C,82,225,SR,"Arlington, TX",TX
SMU Mustangs,SMU,Justin Martin,F,78,205,SR,"Indianapolis, IN",IN
SMU Mustangs,SMU,Ben Emelogu,G,77,205,SO,"Grand Prairie, TX",TX
SMU Mustangs,SMU,Jonathan Wilfong,G,74,185,SO,"Memphis, TN",TN
SMU Mustangs,SMU,Jordan Tolbert,F,79,240,SR,"Fort Worth, TX",TX
SMU Mustangs,SMU,Jean-Micheal Mudiay,G,75,200,SR,"Arlington, TX",TX
SMU Mustangs,SMU,Ben Moore,F,80,185,SO,"Bolingbrook, IL",IL
Temple Owls,Temple,Obi Enechionyia,F,80,220,FR,"Springfield, VA",VA
Temple Owls,Temple,Josh Brown,G,75,185,SO,"Irvington, NJ",NJ
Temple Owls,Temple,Will Cummings,G,74,175,SR,"Jacksonville, FL",FL
Temple Owls,Temple,Jesse Morgan,G,77,190,SR,"Philadelphia, PA",PA
Temple Owls,Temple,Mark Williams,F,80,240,SO,"Cleveland, OH",OH
Temple Owls,Temple,Nick Pendergast,F,77,180,SR,"Bridgewater, CT",CT
Temple Owls,Temple,Jaylen Bond,F,79,225,JR,"Philadelphia, PA",PA
Temple Owls,Temple,Devin Coleman,G,74,200,JR,"Philadelphia, PA",PA
Temple Owls,Temple,Jimmy McDonnell,F,82,210,SR,"Jackson, NJ",NJ
Temple Owls,Temple,Devontae Watson,F-C,82,210,JR,"Ambridge, PA",PA
Temple Owls,Temple,Quenton DeCosey,G,77,180,JR,"Union, NJ",NJ
Temple Owls,Temple,Daniel Dingle,G-F,79,225,JR,"Bronx, NY",NY
Tulane Green Wave,Tulane,Louis Dabney,G,75,210,JR,"New Orleans, LA",LA
Tulane Green Wave,Tulane,Keith Pinckney,G,72,180,FR,"Lithonia, GA",GA
Tulane Green Wave,Tulane,Jonathan Stark,G,72,160,SO,"Munford, TN",TN
Tulane Green Wave,Tulane,Kajon Mack,G,75,185,SO,"Los Angeles, CA",CA
Tulane Green Wave,Tulane,Cameron Reynolds,G,78,195,SO,"Pearland, TX",TX
Tulane Green Wave,Tulane,Josh Hearlihy,F,80,220,SO,"Los Angeles, CA",CA
Tulane Green Wave,Tulane,Ryan Smith,C,82,240,SO,"Wildomar, CA",CA
Tulane Green Wave,Tulane,Jay Hook,G,75,178,SR,"Waco, TX",TX
Tulane Green Wave,Tulane,Payton Henson,F,80,220,SO,"Siloam Springs, AR",AR
Tulane Green Wave,Tulane,Tre Drye,F,78,218,SR,"Baton Rouge, LA",LA
Tulsa Tulsa,Tulsa,Petar Rusic,G,75,195,FR,"Oakville, ON",ON
Tulsa Tulsa,Tulsa,Rashad Smith,F,79,205,JR,"Plano, TX",TX
Tulsa Tulsa,Tulsa,Rashad Ray,G,70,170,JR,"New Orleans, LA",LA
Tulsa Tulsa,Tulsa,James Woodard,G,75,183,JR,"Arcadia, OK",OK
Tulsa Tulsa,Tulsa,Shaquille Harrison,G,76,180,JR,"Kansas City, MO",MO
Tulsa Tulsa,Tulsa,Micah Littlejohn,G-F,78,191,FR,"Mansfield, TX",TX
Tulsa Tulsa,Tulsa,TK Edogi,F,80,215,SO,"Surprise, AZ",AZ
Tulsa Tulsa,Tulsa,Marquel Curtis,G-F,75,210,JR,"Plymouth, MN",MN
Tulsa Tulsa,Tulsa,Nick Wood,G,73,170,JR,"Tulsa, OK",OK
Tulsa Tulsa,Tulsa,Stevie Repichowski,G,77,193,SO,"Lansing, MI",MI
Tulsa Tulsa,Tulsa,D'Andre Wright,F,81,248,JR,"Lawton, OK",OK
Tulsa Tulsa,Tulsa,Brandon Swannegan,F,81,207,JR,"Houston, TX",TX
Tulsa Tulsa,Tulsa,Emmanuel Ezechinonso,F,83,278,SO,"Lagos, Nigeria",Nigeria
UCF Knights,UCF,B.J. Taylor,G,74,200,FR,"Orlando, FL",FL
UCF Knights,UCF,Isiah Thomas,G,71,160,FR,"Wesley Chapel, FL",FL
UCF Knights,UCF,A.J. Davis,G-F,81,212,SO,"Buford, GA",GA
UCF Knights,UCF,Daiquan Walker,G,74,185,JR,"Philadelphia, PA",PA
UCF Knights,UCF,Adonys Henriquez,G,78,210,FR,"Orlando, FL",FL
UCF Knights,UCF,Calvin Newell,G,73,210,SR,"Philadelphia, PA",PA
UCF Knights,UCF,Matt Williams,G,77,220,JR,"Orlando, FL",FL
UCF Knights,UCF,Dylan Karell,F,83,240,JR,"North Miami Beach, FL",FL
UCF Knights,UCF,Myles Davis,G,75,185,SR,"Winter Haven, FL",FL
UCF Knights,UCF,Brandon Goodwin,G,72,180,SO,"Norcross, GA",GA
UCF Knights,UCF,Djordjije Mumin,G,77,205,FR,"Podgorica, Montenegro",Montenegro
UCF Knights,UCF,Marshall Holmes,G,75,175,FR,"Tampa, FL",FL
UCF Knights,UCF,Kasey Wilson,F,79,225,SR,"North Port, FL",FL
UCF Knights,UCF,Shaheed Davis,F,81,210,JR,"Warren, OH",OH
UCF Knights,UCF,Justin McBride,C,82,325,SO,"Starke, FL",FL
UCF Knights,UCF,Staphon Blair,F,81,255,JR,"Fort Lauderdale, FL",FL
Davidson Wildcats,Davidson,Nathan Ekwu,F,79,235,FR,"Enugu, Nigeria",Nigeria
Davidson Wildcats,Davidson,Youssef Mejri,F,79,183,JR,--,--
Davidson Wildcats,Davidson,Jordan Watkins,G,73,160,FR,"Charlotte, NC",NC
Davidson Wildcats,Davidson,Brian Sullivan,G,71,175,JR,"Upper Arlington, OH",OH
Davidson Wildcats,Davidson,Tyler Kalinoski,G,76,180,SR,"Overland Park, KS",KS
Davidson Wildcats,Davidson,Jordan Barham,G,76,190,JR,"Cleveland, OH",OH
Davidson Wildcats,Davidson,Jack Gibbs,G,71,195,SO,"Westerville, OH",OH
Davidson Wildcats,Davidson,Oskar Michelsen,F,81,210,FR,"Helsinki, Finland",Finland
Davidson Wildcats,Davidson,Ali Mackay,F,83,215,SR,"North Berwick, Scotland",Scotland
Davidson Wildcats,Davidson,Peyton Aldridge,F,79,205,FR,"Warren, OH",OH
Davidson Wildcats,Davidson,Jake Belford,F,81,210,JR,"Battle Ground, WA",WA
Davidson Wildcats,Davidson,Manu Giamoukis,G,73,180,SO,"Thessaloniki, Greece",Greece
Davidson Wildcats,Davidson,Rusty Reigel,G,74,190,FR,"Charlotte, NC",NC
Davidson Wildcats,Davidson,Connor Perkey,F,80,195,JR,"Atlanta, GA",GA
Davidson Wildcats,Davidson,Andrew McAuliffe,F,80,235,SO,"Northbrook, IL",IL
Dayton Flyers,Dayton,Darrell Davis,G,76,155,FR,"Detroit, MI",MI
Dayton Flyers,Dayton,Kyle Davis,G,72,165,SO,"Chicago, IL",IL
Dayton Flyers,Dayton,Steve McElvene,C,83,260,FR,"New Haven, IN",IN
Dayton Flyers,Dayton,Scoochie Smith,G,74,170,SO,"New York, NY",NY
Dayton Flyers,Dayton,Jalen Robinson,F-C,81,243,JR,"Columbus, OH",OH
Dayton Flyers,Dayton,Dyshawn Pierre,F,78,210,JR,"Whitby, ON",ON
Dayton Flyers,Dayton,Jordan Sibert,G,76,187,SR,"Cincinnati, OH",OH
Dayton Flyers,Dayton,Kendall Pollard,F,78,210,SO,"Chicago, IL",IL
Dayton Flyers,Dayton,Detwon Rogers,F,78,220,FR,"Raleigh, NC",NC
Dayton Flyers,Dayton,Devon Scott,F-C,81,215,JR,"Columbus, OH",OH
Dayton Flyers,Dayton,Bobby Wehrli,F,78,198,JR,"Naperville, IL",IL
Dayton Flyers,Dayton,William Dupuy,G,68,157,SO,"Colleyville, TX",TX
Dayton Flyers,Dayton,Eddie Eshoo,G,72,180,SO,"Lisle, IL",IL
Dayton Flyers,Dayton,Charles Cooke,NA,77,192,JR,"Trenton, NJ",NJ
Duquesne Dukes,Duquesne,Eric James,G,77,205,FR,"Westerville, OH",OH
