artist,debut_year,year,years_since_debut,debut_position,debut_songs,total_hits,best_position,return_songs,best_return_position,last_year,years_since_last
New Vaudeville Band,1966,2013,47,18,1,1,18,0,,1966,47
New York City,1973,2013,40,46,1,1,46,0,,1973,40
Newbeats,1964,2013,49,26,1,1,26,0,,1964,49
Next,1997,2013,16,91,1,6,1,0,,2002,11
Nick Cannon,2004,2013,9,80,1,1,80,0,,2004,9
Nick Gilder,1978,2013,35,22,1,1,22,0,,1978,35
Nick Lachey,2006,2013,7,54,1,1,54,0,,2006,7
Nickelback,2002,2013,11,1,1,11,1,0,,2009,4
Nicki French,1995,2013,18,19,1,1,19,0,,1995,18
Nicki Minaj,2010,2013,3,52,3,13,8,0,,2013,0
Nicole,1998,2013,15,41,1,1,41,0,,1998,15
Nicolette Larson,1979,2013,34,41,1,1,41,0,,1979,34
Nigel Olsson,1979,2013,34,96,1,1,96,0,,1979,34
Night Ranger,1984,2013,29,40,2,3,40,0,,1985,28
Niia,2008,2013,5,56,1,1,56,0,,2008,5
Nilsson,1969,2013,44,73,1,3,4,0,,1972,41
Nina Sky,2004,2013,9,22,1,1,22,0,,2004,9
Nine Days,2000,2013,13,35,1,1,35,0,,2000,13
Nine Stories,1994,2013,19,6,1,1,6,0,,1994,19
Nino Tempo,1963,2013,50,19,1,1,19,0,,1963,50
Nirvana,1992,2013,21,32,1,1,32,0,,1992,21
Nitty Gritty Dirt Band,1971,2013,42,44,1,1,44,0,,1971,42
Nivea,2001,2013,12,58,1,2,38,0,,2003,10
No Doubt,1996,2013,17,68,1,6,32,0,,2004,9
No Mercy,1996,2013,17,26,1,2,26,0,,1997,16
Norah Jones,2003,2013,10,97,1,1,97,0,,2003,10
Norman Greenbaum,1970,2013,43,22,1,1,22,0,,1970,43
Notorious B.I.G.,1995,2013,18,23,2,4,20,0,,1997,16
Nu Flavor,1998,2013,15,91,1,1,91,0,,1998,15
Nu Shooz,1986,2013,27,26,1,1,26,0,,1986,27
"O'Jays",1972,2013,41,35,1,6,32,0,,1978,35
"O'Kaysions",1968,2013,45,45,1,1,45,0,,1968,45
O-Town,2001,2013,12,41,1,1,41,0,,2001,12
O.C. Smith,1968,2013,45,12,1,1,12,0,,1968,45
Oak Ridge Boys,1981,2013,32,31,1,1,31,0,,1981,32
Oasis,1996,2013,17,56,1,1,56,0,,1996,17
Ocean,1971,2013,42,33,1,1,33,0,,1971,42
Odia Coates,1975,2013,38,66,1,1,66,0,,1975,38
Odyssey,1978,2013,35,91,1,1,91,0,,1978,35
Of Monsters And Men,2013,2013,0,65,1,1,65,0,,2013,0
Ohio Express,1968,2013,45,38,1,1,38,0,,1968,45
Ohio Players,1973,2013,40,84,1,4,30,0,,1976,37
Oleta Adams,1991,2013,22,80,1,1,80,0,,1991,22
Oliver,1969,2013,44,23,2,2,23,0,,1969,44
Olivia,2005,2013,8,8,1,1,8,0,,2005,8
Olivia Newton-John,1971,2013,42,76,1,14,1,0,,1984,29
Olivia Newton-john,1978,2013,35,69,1,1,69,0,,1978,35
Ollie And Jerry,1984,2013,29,80,1,1,80,0,,1984,29
Olly Murs,2013,2013,0,82,1,1,82,0,,2013,0
Olympics,1958,2013,55,92,1,1,92,0,,1958,55
Omarion,2005,2013,8,29,2,3,29,0,,2007,6
One Direction,2012,2013,1,10,1,2,10,0,,2013,0
OneRepublic,2007,2013,6,66,1,7,5,0,,2013,0
Onyx,1993,2013,20,37,1,1,37,0,,1993,20
Orchestral Manoeuvres In The Dark,1986,2013,27,53,1,1,53,0,,1986,27
Orianthi,2010,2013,3,55,1,1,55,0,,2010,3
Originals,1969,2013,44,92,1,2,82,0,,1970,43
Orleans,1975,2013,38,69,1,2,69,0,,1976,37
Orlons,1962,2013,51,24,1,2,24,0,,1963,50
Osmonds,1971,2013,42,4,2,3,4,0,,1972,41
Otis Redding,1968,2013,45,4,1,1,4,0,,1968,45
Otis Williams and the Charms,1956,2013,57,64,1,1,64,0,,1956,57
OutKast,2002,2013,11,70,1,4,5,0,,2004,9
Outfield,1986,2013,27,62,1,1,62,0,,1986,27
Outkast,1996,2013,17,59,1,3,25,0,,2001,12
Outsiders,1966,2013,47,42,1,1,42,0,,1966,47
Owl City,2009,2013,4,60,1,3,30,0,,2012,1
Ozark Mountain Daredevil,1975,2013,38,29,1,1,29,0,,1975,38
P!Nk,2011,2013,2,17,2,2,17,0,,2011,2
P!nk,2012,2013,1,37,1,3,7,0,,2013,0
P. Diddy,2002,2013,11,15,3,6,7,0,,2004,9
P.M. Dawn,1992,2013,21,44,2,4,38,0,,1993,20
Pablo Cruise,1977,2013,36,16,1,3,16,0,,1981,32
Pacific Gas and Electric,1970,2013,43,93,1,1,93,0,,1970,43
Panic! At The Disco,2006,2013,7,20,1,1,20,0,,2006,7
Papa Roach,2005,2013,8,36,1,1,36,0,,2005,8
Paper Lace,1974,2013,39,46,1,1,46,0,,1974,39
Paperboy,1993,2013,20,24,1,1,24,0,,1993,20
Paramore,2010,2013,3,93,1,2,93,0,,2013,0
Paris Sisters,1961,2013,52,52,1,1,52,0,,1961,52
Parliament,1976,2013,37,92,1,2,92,0,,1978,35
Partridge Family,1971,2013,42,53,2,2,53,0,,1971,42
