race,sex,employ,region,age,income,education,records,people,percent,gov_percent
a,a,e,s,u34,u74,a,2,5226,0.278798316,0.112897053
a,a,e,s,u34,u74,cg,2,1181,0.156646909,0.062658764
a,a,e,s,u34,u74,hs,4,3446,0.298026698,0.11781776
a,a,e,s,u34,u74,no-hs,2,599,0.407345576,0.185308848
a,a,e,s,u64,75u,a,4,19230,0.093031721,0.091887676
a,a,e,s,u64,75u,cg,4,9262,0.051392788,0.078060894
a,a,e,s,u64,75u,hs,8,9294,0.112438132,0.105551969
a,a,e,s,u64,75u,no-hs,4,672,0.397321429,0.09077381
a,a,e,s,u64,a,a,4,45296,0.215868951,0.166063229
a,a,e,s,u64,a,cg,4,13918,0.09879293,0.100086219
a,a,e,s,u64,a,hs,8,26219,0.227926313,0.182463099
a,a,e,s,u64,a,no-hs,4,5159,0.470633844,0.260903276
a,a,e,s,u64,u25,a,20,7576,0.428194298,0.366948258
a,a,e,s,u64,u25,cg,20,837,0.353643967,0.246117085
a,a,e,s,u64,u25,hs,40,4708,0.414188615,0.374256585
a,a,e,s,u64,u25,no-hs,20,2028,0.492110454,0.400887574
a,a,e,s,u64,u49,a,8,9676,0.319553535,0.188714345
a,a,e,s,u64,u49,cg,8,1542,0.23151751,0.140726329
a,a,e,s,u64,u49,hs,16,6472,0.299134734,0.190822002
a,a,e,s,u64,u49,no-hs,8,1664,0.480769231,0.224158654
a,a,e,s,u64,u74,a,4,8814,0.187656002,0.130133878
a,a,e,s,u64,u74,cg,4,2275,0.107692308,0.107692308
a,a,e,s,u64,u74,hs,8,5740,0.182229965,0.140243902
a,a,e,s,u64,u74,no-hs,4,798,0.456140351,0.12406015
a,a,e,w,65u,75u,a,1,2662,0.01728024,0.87716003
a,a,e,w,65u,75u,cg,1,1316,0.015957447,0.863221884
a,a,e,w,65u,75u,hs,2,1116,0.008960573,0.894265233
a,a,e,w,65u,75u,no-hs,1,230,0.065217391,0.873913043
a,a,e,w,65u,a,a,1,9245,0.017198486,0.929799892
a,a,e,w,65u,a,cg,1,2732,0.012079063,0.903733529
a,a,e,w,65u,a,hs,2,5052,0.012074426,0.94378464
a,a,e,w,65u,a,no-hs,1,1461,0.044490075,0.930184805
a,a,e,w,65u,u25,a,5,2524,0.023771791,0.959191759
a,a,e,w,65u,u25,cg,5,378,0.015873016,0.941798942
a,a,e,w,65u,u25,hs,10,1508,0.016578249,0.970822281
a,a,e,w,65u,u25,no-hs,5,640,0.0484375,0.9390625
a,a,e,w,65u,u49,a,2,2519,0.011512505,0.965065502
a,a,e,w,65u,u49,cg,2,572,0.003496503,0.97027972
a,a,e,w,65u,u49,hs,4,1562,0.008962868,0.963508323
a,a,e,w,65u,u49,no-hs,2,386,0.033678756,0.96373057
a,a,e,w,65u,u74,a,1,1540,0.015584416,0.915584416
a,a,e,w,65u,u74,cg,1,467,0.00856531,0.905781585
