distance_in_miles,county,tract_code,median_income,population,white_percent,black_percent,latitude,longitude,trips,after_8_trips
3.674090284,New York,201.01,81118,2245,0.622271715,0.08596882,40.80726412,-73.96025083,602,115
3.679623625,New York,205,114722,4779,0.705377694,0.046662482,40.80835945,-73.96399596,3956,726
3.71652386,New York,203,37063,3550,0.607042254,0.084507042,40.80826952,-73.96147879,2805,462
3.728886426,New York,188,36630,5690,0.303514938,0.22970123,40.79738668,-73.93739754,1381,429
3.760715037,New York,220,43621,5965,0.171332775,0.631517184,40.8059193,-73.95234854,855,246
3.77276233,New York,178,34640,4533,0.378116038,0.18663137,40.79549831,-73.93365709,592,131
3.780032751,New York,7,111597,7024,0.708285877,0.016230068,40.70571869,-74.00822387,14191,3589
3.816033635,New York,207.01,44389,3304,0.628631961,0.049031477,40.80905521,-73.95885072,489,85
3.932361601,New York,194,19174,6043,0.165480721,0.312262121,40.80007586,-73.93552138,725,166
3.967407601,New York,200,39722,3091,0.173730184,0.666774507,40.80609975,-73.9448888,1223,442
4.000831687,New York,198,43147,2089,0.242699856,0.671613212,40.80495437,-73.94149683,789,168
4.009958981,New York,222,28631,2840,0.217253521,0.625,40.80861463,-73.94890304,1217,443
4.056597683,New York,196,20907,4256,0.173637218,0.27443609,40.80432284,-73.93856747,2890,690
4.069312863,New York,209.01,19816,4017,0.179238237,0.549166044,40.81172833,-73.95472667,600,224
4.134674592,New York,211,46785,9118,0.380346567,0.233274841,40.81416525,-73.95951512,3407,984
4.144082181,New York,192,17083,4190,0.12601432,0.36372315,40.80012346,-73.9297037,81,26
4.177751901,New York,224,19920,6543,0.079168577,0.624789852,40.81004054,-73.94570946,444,169
4.208742053,New York,206,28375,2734,0.144842721,0.727871251,40.80757994,-73.93951724,319,72
4.296041101,New York,208,32206,5039,0.209366938,0.56360389,40.81027675,-73.94185609,271,88
4.368575861,New York,219,18850,6053,0.116636379,0.432347596,40.81740299,-73.95819717,1273,556
4.405860577,New York,226,32043,4373,0.11845415,0.731763092,40.81317829,-73.94417054,258,107
4.530948473,New York,223.02,16707,3498,0.180960549,0.497712979,40.81938436,-73.9562899,307,97
4.56784382,New York,210,37898,7215,0.071240471,0.795703396,40.81262887,-73.93710309,194,51
4.587629218,New York,228,38068,5063,0.194153664,0.675291329,40.81543198,-73.9423747,419,137
4.588678766,New York,212,51150,3864,0.098084886,0.778467909,40.81349353,-73.93811422,464,111
4.659683024,New York,221.02,48350,2201,0.219900045,0.618809632,40.81812366,-73.94612903,186,60
4.663722825,New York,223.01,21760,8384,0.26240458,0.140625,40.82096981,-73.95462693,1292,432
4.78270138,New York,230,17994,9101,0.126030107,0.689264916,40.81799057,-73.94077358,106,36
4.850143531,New York,225,31250,10093,0.271574358,0.324482314,40.82321129,-73.95238061,691,198
4.89492803,New York,214,33042,2980,0.092281879,0.831879195,40.81823881,-73.93708955,67,28
5.001766184,New York,232,18855,9219,0.086885779,0.761470875,40.8211338,-73.93961972,142,58
5.059705417,New York,229,30359,8978,0.273000668,0.319113388,40.8259697,-73.95069372,924,344
5.182607112,New York,234,41786,5103,0.127572016,0.62590633,40.82413333,-73.93968889,45,13
5.260211315,New York,233,42413,6107,0.26494187,0.44424431,40.82860254,-73.94905989,551,182
5.306954456,New York,236,35301,6548,0.042150275,0.852321319,40.82507813,-73.93698438,64,20
5.376472744,New York,235.02,23563,1763,0.062960862,0.740782757,40.8271,-73.9392,10,4
5.407505294,New York,237,31738,7561,0.205925142,0.393466473,40.83047826,-73.94766522,460,130
5.460799972,New York,235.01,32649,6855,0.113056163,0.62027717,40.82946154,-73.94194231,52,24
5.642133166,New York,239,22011,2364,0.288071066,0.53891709,40.83211111,-73.94125926,27,18
5.672955208,New York,241,37228,8305,0.177363034,0.416014449,40.83388571,-73.94525,420,149
5.701162605,New York,243.02,14542,6982,0.180320825,0.595817817,40.83111765,-73.93594118,17,3
5.806993211,New York,247,34375,8444,0.347465656,0.144362861,40.8359537,-73.94518519,108,29
5.902203508,New York,243.01,26122,4329,0.186186186,0.468468468,40.83558333,-73.93933333,12,10
5.946030177,New York,245,33352,16399,0.267943167,0.14067931,40.8373669,-73.94269517,725,187
6.197034734,New York,249,31875,1074,0.190875233,0.246741155,40.8394,-73.9368,5,3
6.217506342,New York,251,34320,2942,0.228076139,0.22603671,40.84099319,-73.94069482,734,156
6.258338669,New York,255,45800,5447,0.516063888,0.084450156,40.84225914,-73.94279402,301,52
6.362692468,New York,253,32783,11334,0.261425798,0.137727193,40.84281773,-73.93925616,203,90
6.630405964,New York,263,22305,8981,0.295401403,0.108228482,40.84665269,-73.93811976,167,71
6.714265937,New York,261,28830,12750,0.216705882,0.129176471,40.84654167,-73.93366667,24,13
6.801072096,New York,265,42241,7182,0.437064884,0.07978279,40.84944892,-73.93858065,372,191
6.98674313,New York,269,26165,8921,0.323394238,0.087209954,40.85,-73.93111765,34,17
7.041645371,New York,273,62555,6726,0.724947963,0.023936961,40.85285455,-73.93746061,165,80
7.047142083,New York,275,60731,2966,0.787592717,0.074511126,40.854,-73.94128571,7,3
7.060990768,New York,271,33901,9336,0.478041988,0.057840617,40.85226027,-73.93447945,73,41
7.09399072,New York,267,29375,2199,0.640745794,0.074579354,40.85081818,-73.92854545,11,5
7.359130345,New York,277,25268,7123,0.290046329,0.186157518,40.855,-73.92844444,9,8
7.378386589,New York,279,36013,11198,0.31666369,0.100196464,40.85652941,-73.93223529,68,44
7.379757027,New York,281,85926,2981,0.879906072,0.038913116,40.85733333,-73.93483333,12,2
7.524056085,New York,283,37488,7491,0.550527299,0.081164064,40.8583,-73.9306,20,9
7.733871857,New York,285,26838,7819,0.288144264,0.081468218,40.861125,-73.929125,16,7
8.004088141,New York,291,29688,12661,0.201168944,0.089171471,40.86387097,-73.92445161,31,27
8.01361177,New York,287,55203,4325,0.412485549,0.052254335,40.86539634,-73.92879878,164,119
8.125668306,New York,295,57454,7762,0.472558619,0.050502448,40.86636885,-73.92627049,122,73
8.256180683,New York,293,35143,8942,0.316931335,0.059159025,40.86678571,-73.9212381,42,18
8.382697433,New York,303,49388,3520,0.546306818,0.075852273,40.86831429,-73.91982857,35,22
8.624313654,New York,307,59716,3607,0.706126975,0.098419739,40.87083333,-73.916,18,8
9.002318556,New York,309,31318,9685,0.261125452,0.275167785,40.87470588,-73.90994118,17,9
