"Holland, Devin",2011,"Baton Rouge , LA",Baton Rouge,LA,McNeese State
"Holland, Jamere",2011,,,,Lindenwood
"Holmes, Mike",2011,"Hagerstown , MD",Hagerstown,MD,Syracuse
"Homan, Ross",2011,,,,Ohio State
"Hopkins, Chris",2011,,,,Toledo
"Horn, Joe",2011,,,,Ashland
"Howey, Neal",2011,,,,Eastern Michigan
"Huey, Michael",2011,"Longview , TX",Longview,TX,Texas
"Hunt, Randall",2011,,,,Illinois
"Hunter, Jeremiha",2011,,,,Iowa
"Huntley, Rod",2011,"Arlington , TX",Arlington,TX,Texas-El Paso
"Hurd, Zach",2011,,,,Connecticut
"Hurt, Kolby",2011,"Columbia , MO",Columbia,MO,Missouri State
"Ibiloye, Alex",2011,,,,Texas Christian
"Ihenacho, Carl",2011,"Los Angeles , CA",Los Angeles,CA,San Jose State
"Illig, Pat",2011,,,,Wofford
"Ingersoll, Mike",2011,,,,North Carolina
"Inman, Dontrelle",2011,,,,Virginia
"Irvin, Tommy",2011,"Austin , TX",Austin,TX,Wofford
"Isom, Byron",2011,,,,Auburn
"Issac, Rod",2011,"Miami , FL",Miami,FL,Middle Tennessee State
"Jackson, Andrew",2011,,,,Fresno State
"Jackson, Anquez",2011,,,,Alabama A&M
"Jackson, Talmadge",2011,,,,Oregon
"Jasper, Josh",2011,"Memphis , TN",Memphis,TN,LSU-Shreveport
"Jeffcoat, Sean",2011,,,,Elon
"Jefferson, Brad",2011,,,,Georgia Tech
"Jenkins, Jared",2011,,,,Wis.-Stevens Point
"Johnson, Bart",2011,,,,Texas Christian
"Johnson, Dominique",2011,,,,Cal Poly-S.L.O.
"Johnson, Jalil",2011,,,,Jackson State
"Johnson, Ronald",2011,"Muskegon , MI",Muskegon,MI,USC
"Johnson, Spencer",2011,"Oakland , CA",Oakland,CA,Utah State
"Jones, A.J.",2011,,,,Florida
"Jones, D.J.",2011,,,,Nebraska
"Jones, Derrick",2011,,,,California (PA)
"Jones, Eddie",2011,"Henderson , TX",Henderson,TX,Texas
"Jones, Gerald",2011,,,,Tennessee
"Jones, Ryan",2011,,,,Northwest Missouri State
"Joseph, Peanut",2011,"Hartford , CT",Hartford,CT,Temple
"Joseph, Eli",2011,,,,Temple
"Kamara, Amara",2011,,,,Temple
"Kelly, Bryson",2011,,,,Central Washington
"Kenney, Cameron",2011,,,,Oklahoma
"Kia, Micah",2011,,,,UCLA
"King, Caleb",2011,,,,Georgia
"King, Jarriel",2011,"Charleston , SC",Charleston,SC,South Carolina
"Kirkendoll, James",2011,"Northfolk , VA",Northfolk,VA,Texas
"Kirkpatrick, Jake",2011,,,,Texas Christian
"Koepplin, Chris",2011,,,,Massachusetts
"Kunalic, Adi",2011,,,,Nebraska
"Kuuttila, Karri",2011,,,,Lock Haven
"LaFrance, Jeremy",2011,,,,Akron
"LaSecla, Jordan",2011,,,,San Jose State
"Lainhart, Brian",2011,,,,Kent State
"Lamaak, Ben",2011,"Cedar Rapids , IA",Cedar Rapids,IA,Iowa State
"Lamphear, Mike",2011,,,,Western Illinois
"Landor, Byron",2011,,,,Baylor
"Langley, T.J.",2011,,,,Arkansas Tech
"Laptad, Jake",2011,,,,Kansas
"Larimore, Dexter",2011,,,,Ohio State
"Lavarias, Aaron",2011,,,,Idaho
"Lee, Zac",2011,,,,Nebraska
