school,current_conf,historic_conf,county,recruit_year
Arizona,pac-12,pac-12,55101,1998
Wisconsin,big-ten,big-ten,55029,1998
Wisconsin,big-ten,big-ten,55009,1998
Washington,pac-12,pac-12,53053,1998
Washington,pac-12,pac-12,53035,1998
North Carolina State,acc,acc,51760,1998
Virginia,acc,acc,51710,1998
Virginia,acc,acc,51700,1998
North Carolina,acc,acc,51650,1998
Marshall,cusa,mac,51590,1998
East Carolina,american,cusa,51089,1998
Virginia Tech,acc,big-east,51009,1998
Brigham Young,independent,mwc,49053,1998
Brigham Young,independent,mwc,49049,1998
Texas,big-12,big-12,48491,1998
Stanford,pac-12,pac-12,48473,1998
Texas,big-12,big-12,48441,1998
Notre Dame,acc,independent,48441,1998
Texas Tech,big-12,big-12,48439,1998
Texas Christian,big-12,cusa,48439,1998
Notre Dame,acc,independent,48339,1998
