"Batiste, D'Anthony",2005,"Marksville , LA",Marksville,LA,Louisiana-Lafayette
"Batson, Will",2013,"Marksville , LA",,,North Alabama
"Battle, Jackie",2008,"Houston , TX",Houston,TX,Houston
"Baxter, Alan",2013,"Buffalo Grove , IL",Buffalo Grove,IL,Northern Illinois
"Baxter, Colin",2012,"San Pedro , CA",San Pedro,CA,Arizona
"Beachum, Kelvin",2012,"Mexia , TX",Mexia,TX,Southern Methodist
"Beadles, Zane",2010,"Casper , WY",Casper,WY,Utah
"Beal, Jeremy",2012,"Carrollton , TX",Carrollton,TX,Oklahoma
"Beasley, Cole",2012,"Houston , TX",Houston,TX,Southern Methodist
"Beason, Jon",2007,"Miramar , FL",Miramar,FL,Miami (Fla.)
"Beatty, Will",2009,"York , PA",York,PA,Connecticut
"Beauharnais, Steve",2013,"Saddle Brook , NJ",Saddle Brook,NJ,Rutgers
"Becton, Nick",2013,"Fayetteville , NC",Fayetteville,NC,Virginia Tech
"Bell, Byron",2011,"Greenville , TX",Greenville,TX,New Mexico
"Bell, Demetress",2008,"Summerfield , LA",Summerfield,LA,Northwestern State-Louisiana
"Bell, Joique",2011,"Benton Harbor , MI",Benton Harbor,MI,Wayne State (Mich.)
"Bell, Kahlil",2009,"Santa Rosa , CA",Santa Rosa,CA,UCLA
"Bell, Le'Veon",2013,"Columbus , OH",Columbus,OH,Michigan State
"Bell, Yeremiah",2013,"Winchester , KY",Winchester,KY,Eastern Kentucky
"Bellamy, Josh",2013,"St. Petersburg , FL",St. Petersburg,FL,Louisville
"Bellore, Nick",2011,"St. Paul , MN",St. Paul,MN,Central Michigan
"Beltre, Frank",2013,Azua   Dominican Republic,,,Towson
"Benard, Marcus",2010,"Adrian , MI",Adrian,MI,Jackson State
"Benford, Tim",2013,"Adrian , MI",,,Tennessee Tech
"Benjamin, Travis",2012,"Belle Glade , FL",Belle Glade,FL,Miami (Fla.)
"Benn, Arrelious",2011,"Washington , DC",Washington,DC,Illinois
"Bennett, Earl",2008,"Birmingham , AL",Birmingham,AL,Vanderbilt
"Bennett, Martellus",2008,"San Diego , CA",San Diego,CA,Texas A&M
"Bennett, Michael",2009,"Avondale , LA",Avondale,LA,Texas A&M
"Bentley, Bill",2012,"Miami , FL",Miami,FL,Louisiana-Lafayette
"Benton, Spencer",2013,"Miami , FL",,,Clemson
"Bequette, Jake",2012,"Little Rock , AR",Little Rock,AR,Arkansas
"Berger, Joe",2005,"Fremont , MI",Fremont,MI,Michigan Tech
"Bergstrom, Tony",2012,"Salt Lake City , UT",Salt Lake City,UT,Utah
"Bernadeau, Mackenzy",2008,"Waltham , MA",Waltham,MA,Bentley
"Bernard, Gio",2013,"West Palm Beach , FL",West Palm Beach,FL,North Carolina
"Berry, Aaron",2010,"Harrisburg , PA",Harrisburg,PA,Pittsburgh
"Berry, Damien",2012,"Belle Glade , FL",Belle Glade,FL,Miami (Fla.)
"Berry, Eric",2010,"Atlanta , GA",Atlanta,GA,Tennessee
"Bersin, Brenton",2013,"Atlanta , GA",,,Wofford
"Bess, Davone",2008,"Hayward , CA",Hayward,CA,Hawaii
"Bethea, Antoine",2006,"Savannah , GA",Savannah,GA,Howard
"Bethel, Justin",2012,"Sumter , SC",Sumter,SC,Presbyterian
"Bethel-Thompson, McLeod",2012,"Sumter , SC",,,Sacramento State
"Bice, Adam",2013,"Sumter , SC",,,Akron
"Biere, Tim",2013,"Omaha , NE",Omaha,NE,Kansas
"Biermann, Kroy",2008,"Hardin , MT",Hardin,MT,Montana
"Biggers, E.J.",2009,"Miami , FL",Miami,FL,Western Michigan
"Bilukidi, Christo",2012,Angola,,,Georgia State
"Binns, Armon",2012,"Los Angeles , CA",Los Angeles,CA,Cincinnati
"Bird, Bront",2012,"Odessa , TX",Odessa,TX,Texas Tech
"Bironas, Rob",2005,"Louisville , KY",Louisville,KY,Georgia Southern
"Bishop, Brandan",2013,"Louisville , KY",,,North Carolina State
"Bishop, Desmond",2007,"San Francisco , CA",San Francisco,CA,California
"Black, Ahmad",2012,"Lakeland , FL",Lakeland,FL,Florida
"Black, Conroy",2013,"Lakeland , FL",,,Utah
"Black, Larry",2013,"Lakeland , FL",,,Indiana
"Blackburn, Chase",2005,"Bellefontaine , OH",Bellefontaine,OH,Akron
"Blackmon, Justin",2012,"Oceanside , CA",Oceanside,CA,Oklahoma State
"Blackmon, Will",2007,"Providence , RI",Providence,RI,Boston College
"Blake, Antwon",2012,"Jacksonville , FL",Jacksonville,FL,Texas-El Paso
"Blake, Emory",2013,"Jacksonville , FL",,,Auburn
"Blake, Philip",2012,"Toronto , Ontario",Toronto,Ontario,Baylor
"Blalock, Justin",2007,"Dallas , TX",Dallas,TX,Texas
"Blanchard, Matt",2013,"Dallas , TX",,,Wis.-Whitewater
"Blanton, Robert",2012,"Clackamas , OR",Clackamas,OR,Notre Dame
"Blatnick, Jamie",2013,"Fontana , CA",Fontana,CA,Oklahoma State
"Blount, LeGarrette",2010,"Madison , FL",Madison,FL,Oregon
"Boatright, Kenneth",2013,"Joliet , IL",Joliet,IL,Southern Illinois
"Boggs, Taylor",2013,"Upland , CA",Upland,CA,Humboldt State
"Bogotay, Brandon",2013,"Upland , CA",,,Georgia
"Bohanon, Tommy",2013,"Cape Coral , FL",Cape Coral,FL,Wake Forest
"Bolden, Brandon",2012,"Baton Rouge , LA",Baton Rouge,LA,Mississippi
"Bolden, Omar",2012,"Fullerton , CA",Fullerton,CA,Arizona State
"Boldin, Anquan",2013,"Pahokee , FL",Pahokee,FL,Florida State
"Bolen, Brock",2010,"Piqua , OH",Piqua,OH,Louisville
"Boley, Michael",2005,"Gadsden , AL",Gadsden,AL,Southern Mississippi
"Boling, Clint",2011,"Atlanta , GA",Atlanta,GA,Georgia
"Bomar, Maalik",2013,"Atlanta , GA",,,Cincinnati
"Bonani, Maikon",2013,"Atlanta , GA",,,South Florida
"Bond, Travis",2013,"Powellsville , NC",Powellsville,NC,North Carolina
"Bonner, Alan",2013,"Powellsville , NC",,,Jacksonville State
"Booker, Marvin",2013,"Powellsville , NC",,,Rutgers
"Boone, Alex",2010,"Lakewood , OH",Lakewood,OH,Ohio State
"Boothe, Kevin",2006,"Queens , NY",Queens,NY,Cornell
"Borel, Diondre",2013,"San Jose , CA",San Jose,CA,Utah State
"Boren, Justin",2013,"Pickerington , OH",Pickerington,OH,Ohio State
"Boren, Zach",2013,"Pickerington , OH",,,Ohio State
