id,name,male_18_to_24,cfb_players,cbb_players,pred_cfb,pred_cbb,resid_cfb,resid_cbb,percent_cfb,percent_cbb
31061,"Franklin, Nebraska",107,0,0,0.680010751,-0.218512079,-0.680010751,0.218512079,-0.006355241,0.002042169
46059,"Hand, South Dakota",107,0,0,0.680010751,-0.218512079,-0.680010751,0.218512079,-0.006355241,0.002042169
38029,"Emmons, North Dakota",108,0,0,0.68153093,-0.218170904,-0.68153093,0.218170904,-0.006310472,0.002020101
13307,"Webster, Georgia",109,0,0,0.683051109,-0.21782973,-0.683051109,0.21782973,-0.006266524,0.001998438
20089,"Jewell, Kansas",109,0,0,0.683051109,-0.21782973,-0.683051109,0.21782973,-0.006266524,0.001998438
48023,"Baylor, Texas",109,0,0,0.683051109,-0.21782973,-0.683051109,0.21782973,-0.006266524,0.001998438
46117,"Stanley, South Dakota",111,0,0,0.686091467,-0.217147381,-0.686091467,0.217147381,-0.006181004,0.001956283
13239,"Quitman, Georgia",112,0,0,0.687611646,-0.216806206,-0.687611646,0.216806206,-0.00613939,0.00193577
38011,"Bowman, North Dakota",112,0,0,0.687611646,-0.216806206,-0.687611646,0.216806206,-0.00613939,0.00193577
32029,"Storey, Nevada",113,0,0,0.689131825,-0.216465032,-0.689131825,0.216465032,-0.006098512,0.00191562
20183,"Smith, Kansas",114,0,0,0.690652004,-0.216123857,-0.690652004,0.216123857,-0.006058351,0.001895823
40057,"Harmon, Oklahoma",114,0,0,0.690652004,-0.216123857,-0.690652004,0.216123857,-0.006058351,0.001895823
48081,"Coke, Texas",114,0,0,0.690652004,-0.216123857,-0.690652004,0.216123857,-0.006058351,0.001895823
20075,"Hamilton, Kansas",115,0,0,0.692172183,-0.215782683,-0.692172183,0.215782683,-0.006018889,0.001876371
40045,"Ellis, Oklahoma",115,0,0,0.692172183,-0.215782683,-0.692172183,0.215782683,-0.006018889,0.001876371
48385,"Real, Texas",115,0,0,0.692172183,-0.215782683,-0.692172183,0.215782683,-0.006018889,0.001876371
20017,"Chase, Kansas",116,0,0,0.693692362,-0.215441508,-0.693692362,0.215441508,-0.005980107,0.001857254
48461,"Upton, Texas",116,0,0,0.693692362,-0.215441508,-0.693692362,0.215441508,-0.005980107,0.001857254
46025,"Clark, South Dakota",117,0,1,0.695212541,-0.215100333,-0.695212541,1.215100333,-0.005941988,0.010385473
27077,"Lake of the Woods, Minnesota",117,0,0,0.695212541,-0.215100333,-0.695212541,0.215100333,-0.005941988,0.001838464
48087,"Collingsworth, Texas",118,0,0,0.69673272,-0.214759159,-0.69673272,0.214759159,-0.005904515,0.001819993
