espn_pts_rank_by_position,player,position,espn_pts
59,"John Phillips, SD TE",te,14
60,"Andrew Quarless, GB TEBreaking News",te,14
61,"Luke Willson, Sea TE",te,16
62,"Logan Paulsen, Wsh TERecent News",te,21
63,"James Hanna, Dal TE",te,11
64,"John Carlson, Min TE",te,13
65,"Lee Smith, Buf TE",te,11
66,"Chris Gragg, Buf TE",te,5
67,"Levine Toilolo, Atl TE",te,4
68,"Virgil Green, Den TE",te,0
69,"Jake Ballard, FA TE",te,0
70,"Hayden Smith, FA TE",te,0
71,"Tony Moeaki*, KC TE  IR",te,0
72,"Evan Rodriguez, FA TE",te,0
73,"Ryan Otten, FA TE",te,0
74,"Kellen Davis, FA TERecent News",te,0
75,"Anthony McCoy*, Sea TE  IR",te,0
76,"Dennis Pitta*, Bal TE  OBreaking News",te,0
77,"Dustin Keller*, Mia TE  IR",te,0
78,"Aaron Hernandez, FA TE",te,0
79,"John Doyle, Ind TE",te,0
80,"Matt Furstenburg, FA TE",te,0
1,Seahawks D/ST D/ST,dst,171
2,49ers D/ST D/ST,dst,177
3,Texans D/ST D/ST,dst,166
4,Bears D/ST D/ST,dst,160
5,Bengals D/ST D/ST,dst,125
6,Patriots D/ST D/ST,dst,136
7,Broncos D/ST D/ST,dst,123
8,Steelers D/ST D/ST,dst,136
9,Rams D/ST D/ST,dst,123
10,Packers D/ST D/ST,dst,126
11,Ravens D/ST D/ST,dst,117
12,Cowboys D/ST D/ST,dst,120
13,Dolphins D/ST D/ST,dst,102
14,Buccaneers D/ST D/ST,dst,114
15,Cardinals D/ST D/ST,dst,100
16,Falcons D/ST D/ST,dst,100
17,Browns D/ST D/ST,dst,85
18,Giants D/ST D/ST,dst,98
19,Vikings D/ST D/ST,dst,102
20,Lions D/ST D/ST,dst,94
21,Chargers D/ST D/ST,dst,106
22,Panthers D/ST D/ST,dst,84
23,Jets D/ST D/ST,dst,99
24,Redskins D/ST D/ST,dst,88
25,Chiefs D/ST D/ST,dst,76
26,Eagles D/ST D/ST,dst,81
27,Bills D/ST D/ST,dst,71
28,Titans D/ST D/ST,dst,84
29,Colts D/ST D/ST,dst,73
30,Saints D/ST D/ST,dst,73
31,Jaguars D/ST D/ST,dst,63
32,Raiders D/ST D/ST,dst,40
1,"Stephen Gostkowski, NE K",k,157
2,"Blair Walsh, Min K",k,157
3,"Matt Bryant, Atl K  PBreaking News",k,150
4,"Justin Tucker, Bal K",k,148
5,"Matt Prater, Den K",k,144
6,"Phil Dawson, SF K",k,144
7,"Randy Bullock, Hou K",k,141
8,"Josh Brown, NYG K",k,137
9,"Sebastian Janikowski, Oak K  PBreaking News",k,137
10,"David Akers, Det K",k,134
11,"Dan Bailey, Dal K",k,134
12,"Greg Zuerlein, StL K",k,130
13,"Steven Hauschka, Sea K",k,128
14,"Garrett Hartley, NO K",k,127
15,"Robbie Gould, Chi K",k,125
16,"Mike Nugent, Cin K",k,124
17,"Mason Crosby, GB K",k,121
18,"Adam Vinatieri, Ind K",k,120
19,"Alex Henery, Phi K",k,117
20,"Shaun Suisham, Pit K",k,114
21,"Rob Bironas, Ten K",k,112
22,"Rian Lindell, TB K",k,113
23,"Graham Gano, Car K",k,112
24,"Kai Forbath, Wsh K",k,109
25,"Jay Feely, Ari K",k,106
26,"Ryan Succop, KC K",k,106
27,"Nick Novak, SD K",k,106
28,"Nick Folk, NYJ K",k,105
29,"Josh Scobee, Jac K",k,100
30,"Dustin Hopkins*, Buf K  OBreaking News",k,97
31,"Caleb Sturgis, Mia K",k,91
32,"Shayne Graham, FA K  PRecent News",k,0
33,"Dan Carpenter, Buf KBreaking News",k,0
34,"Billy Cundiff, Cle KRecent News",k,0
35,"Lawrence Tynes*, FA K  O",k,0
36,"Derek Dimke, FA K",k,0
37,"Maikon Bonani, FA K",k,0
38,"Quinn Sharp, FA K",k,0
39,"Austin Signor, FA K",k,0
40,"Havard Rugland, FA K",k,0
