name,sport,gender,country,height,weight,age
Alexey Volkov,bai,Male,Russian Fed.,1.77,69,25
Sergey Novikov,bai,Male,Belarus,1.84,78,34
Franziska Hildebrand,bai,Female,Germany,1.62,53,26
Daniel Boehm,bai,Male,Germany,1.78,72,27
Andriy Deryzemlya,bai,Male,Ukraine,1.88,80,36
Ondrej Moravec,bai,Male,Czech Republic,1.81,72,29
Andrejs Rastorgujevs,bai,Male,Latvia,1.81,71,25
Carl Johan Bergman,bai,Male,Sweden,1.76,73,35
Jarkko Kauppinen,bai,Male,Finland,1.79,74,31
Miroslav Matiasko,bai,Male,Slovakia,1.82,71,31
Alexandr Trifonov,bai,Male,Kazakhstan,1.88,73,27
Diana Rasimoviciute,bai,Female,Lithuania,1.63,54,29
Simon Eder,bai,Male,Austria,1.86,79,30
Eva Puskarcikova,bai,Female,Czech Republic,1.68,57,23
Nadezhda Skardino,bai,Female,Belarus,1.60,50,28
Jana Gerekova,bai,Female,Slovakia,1.74,64,29
Anton Shipulin,bai,Male,Russian Fed.,1.85,81,26
Dominik Windisch,bai,Male,Italy,1.82,72,24
Fredrik Lindstroem,bai,Male,Sweden,1.80,74,24
Mari Laukkanen,bai,Female,Finland,1.71,58,26
Klemen Bauer,bai,Male,Slovenia,1.83,77,28
Selina Gasparin,bai,Female,Switzerland,1.63,52,29
Vetle Sjastad Christiansen,bai,Male,Norway,,,21
Ekaterina Glazyrina,bai,Female,Russian Fed.,1.65,57,26
Pavol Hurajt,bai,Male,Slovakia,1.72,68,36
Laure Soulie,bai,Female,Andorra,1.60,50,26
Simon Schempp,bai,Male,Germany,1.79,72,25
Simon Kocevar,bai,Male,Slovenia,1.80,73,23
Marine Bolliet,bai,Female,France,1.65,54,26
Darya Usanova,bai,Female,Kazakhstan,1.70,65,24
Megan Heinicke,bai,Female,Canada,1.70,57,25
Dmytro Pidruchnyi,bai,Male,Ukraine,1.79,68,22
Nastassia Dubarezava,bai,Female,Belarus,1.70,63,28
Olga Vilukhina,bai,Female,Russian Fed.,1.72,65,25
Vanessa Hinz,bai,Female,Germany,1.76,61,21
Olena Pidhrushna,bai,Female,Ukraine,1.76,67,27
Evgeniy Garanichev,bai,Male,Russian Fed.,1.69,69,26
Dmitry Malyshko,bai,Male,Russian Fed.,1.85,79,26
Martin Otcenas,bai,Male,Slovakia,1.80,71,26
Jitka Landova,bai,Female,Czech Republic,1.70,57,23
Nadzeya Pisareva,bai,Female,Belarus,1.68,57,25
Emil Hegle Svendsen,bai,Male,Norway,,,28
Simon Hallenbarter,bai,Male,Switzerland,1.93,90,34
Alexis Boeuf,bai,Male,France,1.72,65,27
Alina Raikova,bai,Female,Kazakhstan,1.68,56,22
Leif Nordgren,bai,Male,United States,1.88,79,24
Evgeny Abramenko,bai,Male,Belarus,1.82,80,26
Anton Pantov,bai,Male,Kazakhstan,1.87,77,22
Michail Kletcherov,bai,Male,Bulgaria,1.63,58,31
Daniel Mesotitsch,bai,Male,Austria,1.81,78,37
Alexandra Camenscic,bai,Female,Rep. of Moldova,1.58,55,25
Tomas Kaukenas,bai,Male,Lithuania,1.77,66,23
Miki Kobayashi,bai,Female,Japan,1.52,51,26
Karoly Gombos,bai,Male,Hungary,1.76,69,32
Janez Maric,bai,Male,Slovenia,1.82,80,38
Olga Zaitseva,bai,Female,Russian Fed.,1.69,64,35
Kalev Ermits,bai,Male,Estonia,1.81,74,21
Anais Bescond,bai,Female,France,1.71,68,26
Lea Johanidesova,bai,Female,Czech Republic,1.67,56,24
Valj Semerenko,bai,Female,Ukraine,1.61,54,28
Vladimir Iliev,bai,Male,Bulgaria,1.82,72,26
Sean Doherty,bai,Male,United States,1.80,75,18
Miroslav Kenanov,bai,Male,Bulgaria,1.82,71,25
Daria Yurlova,bai,Female,Estonia,1.68,62,21
Amanda Lightfoot,bai,Female,Great Britain,1.73,61,27
Krasimir Anev,bai,Male,Bulgaria,1.74,67,26
Lee-Steve Jackson,bai,Male,Great Britain,1.72,69,33
Russell Currier,bai,Male,United States,1.68,67,26
Alexander Loginov,bai,Male,Russian Fed.,1.77,71,22
Galina Vishnevskaya,bai,Female,Kazakhstan,1.60,55,20
Aliaksandr Darozhka,bai,Male,Belarus,1.72,67,22
Nicole Gontier,bai,Female,Italy,1.64,57,22
Ole Einar Bjoerndalen,bai,Male,Norway,,,40
Yuryi Liadov,bai,Male,Belarus,1.74,73,26
