year,order,rank,country,group,wc,result
2006,20,20,Greece,None,6,Didn't make World Cup :-(
2006,21,21,Tunisia,H,5,Lost in group play
2006,22,22,Uruguay,None,6,Didn't make World Cup :-(
2006,23,23,Iran,D,5,Lost in group play
2006,24,23,Croatia,F,5,Lost in group play
2006,25,25,Romania,None,6,Didn't make World Cup :-(
2006,26,26,Costa Rica,A,5,Lost in group play
2006,27,27,Colombia,None,6,Didn't make World Cup :-(
2006,28,28,Senegal,None,6,Didn't make World Cup :-(
2006,29,29,Poland,A,5,Lost in group play
2006,30,29,Korea,G,5,Lost in group play
2006,31,31,Republic of Ireland,None,6,Didn't make World Cup :-(
2006,32,32,Cote d'Ivoire,C,5,Lost in group play
2006,33,33,Paraguay,B,5,Lost in group play
2006,34,34,Saudi Arabia,H,5,Lost in group play
2006,35,35,Switzerland,G,4,Lost in the round of 16
2006,36,36,Morocco,None,6,Didn't make World Cup :-(
2006,37,37,Russia,None,6,Didn't make World Cup :-(
2006,38,37,Bulgaria,None,6,Didn't make World Cup :-(
2006,39,39,Ecuador,A,4,Lost in the round of 16
2006,40,40,Norway,None,6,Didn't make World Cup :-(
2006,41,41,Slovakia,None,6,Didn't make World Cup :-(
2006,42,42,Honduras,None,6,Didn't make World Cup :-(
2006,43,42,Australia,F,4,Lost in the round of 16
2006,44,44,Serbia and Montenegro,C,5,Lost in group play
2006,45,45,Ukraine,H,3,Lost in the Quarterfinals
2006,46,46,Jamaica,None,6,Didn't make World Cup :-(
2006,47,47,Trinidad and Tobago,B,5,Lost in group play
2006,48,48,Ghana,E,4,Lost in the round of 16
2006,49,49,Finland,None,6,Didn't make World Cup :-(
2006,50,49,Israel,None,6,Didn't make World Cup :-(
2006,51,51,Guinea,None,6,Didn't make World Cup :-(
2006,52,52,Iraq,None,6,Didn't make World Cup :-(
2006,53,53,South Africa,None,6,Didn't make World Cup :-(
2006,54,54,Bahrain,None,6,Didn't make World Cup :-(
2006,55,55,Zimbabwe,None,6,Didn't make World Cup :-(
2006,56,56,Belgium,None,6,Didn't make World Cup :-(
2006,57,57,Angola,D,5,Lost in group play
2006,58,57,Zambia,None,6,Didn't make World Cup :-(
2006,59,59,Scotland,None,6,Didn't make World Cup :-(
2006,60,60,Uzbekistan,None,6,Didn't make World Cup :-(
2006,61,61,Togo,G,5,Lost in group play
2006,62,62,Guatemala,None,6,Didn't make World Cup :-(
2006,63,63,Bosnia-Herzegovina,None,6,Didn't make World Cup :-(
2006,64,64,Chile,None,6,Didn't make World Cup :-(
2006,65,65,Belarus,None,6,Didn't make World Cup :-(
2006,66,66,Peru,None,6,Didn't make World Cup :-(
2006,67,66,Mali,None,6,Didn't make World Cup :-(
2006,68,68,China PR,None,6,Didn't make World Cup :-(
2006,69,69,Congo DR,None,6,Didn't make World Cup :-(
2006,70,70,Latvia,None,6,Didn't make World Cup :-(
2006,71,71,Slovenia,None,6,Didn't make World Cup :-(
2006,72,71,Venezuela,None,6,Didn't make World Cup :-(
2006,73,71,United Arab Emirates,None,6,Didn't make World Cup :-(
2006,74,74,Kuwait,None,6,Didn't make World Cup :-(
2006,75,74,Wales,None,6,Didn't make World Cup :-(
2006,76,76,Hungary,None,6,Didn't make World Cup :-(
2006,77,77,Estonia,None,6,Didn't make World Cup :-(
2006,78,78,Qatar,None,6,Didn't make World Cup :-(
2006,79,79,Austria,None,6,Didn't make World Cup :-(
2006,80,80,Cuba,None,6,Didn't make World Cup :-(
2006,81,81,Panama,None,6,Didn't make World Cup :-(
2006,82,82,Oman,None,6,Didn't make World Cup :-(
2006,83,83,Canada,None,6,Didn't make World Cup :-(
2006,84,84,Jordan,None,6,Didn't make World Cup :-(
2006,85,85,Albania,None,6,Didn't make World Cup :-(
2006,86,86,Libya,None,6,Didn't make World Cup :-(
2006,87,87,Algeria,None,6,Didn't make World Cup :-(
2006,88,88,North Korea,None,6,Didn't make World Cup :-(
2006,89,89,Burkina Faso,None,6,Didn't make World Cup :-(
2006,90,90,Syria,None,6,Didn't make World Cup :-(
2006,91,91,FYR Macedonia,None,6,Didn't make World Cup :-(
2006,92,92,Singapore,None,6,Didn't make World Cup :-(
2006,93,93,Lithuania,None,6,Didn't make World Cup :-(
2006,94,94,Rwanda,None,6,Didn't make World Cup :-(
2006,95,95,Kenya,None,6,Didn't make World Cup :-(
2006,96,96,Northern Ireland,None,6,Didn't make World Cup :-(
2006,97,97,Uganda,None,6,Didn't make World Cup :-(
2006,98,97,Sudan,None,6,Didn't make World Cup :-(
2006,99,99,Iceland,None,6,Didn't make World Cup :-(
2006,100,100,Cyprus,None,6,Didn't make World Cup :-(
2006,101,101,Georgia,None,6,Didn't make World Cup :-(
2006,102,102,Bolivia,None,6,Didn't make World Cup :-(
2006,103,103,Botswana,None,6,Didn't make World Cup :-(
2006,104,104,Moldova,None,6,Didn't make World Cup :-(
2006,105,105,Gabon,None,6,Didn't make World Cup :-(
2006,106,106,Haiti,None,6,Didn't make World Cup :-(
2006,107,107,Malawi,None,6,Didn't make World Cup :-(
2006,108,108,Thailand,None,6,Didn't make World Cup :-(
2006,109,109,Armenia,None,6,Didn't make World Cup :-(
2006,110,110,Indonesia,None,6,Didn't make World Cup :-(
2010,1,1,Brazil,G,3,Lost in the Quarterfinals
2010,2,2,Spain,H,0,Won World Cup!
2010,3,3,Portugal,G,4,Lost in the round of 16
2010,4,4,Netherlands,E,1,Lost in the Final
2010,5,5,Italy,F,5,Lost in group play
2010,6,6,Germany,D,2,Lost in the Semifinals
2010,7,7,Argentina,B,3,Lost in the Quarterfinals
2010,8,8,England,C,4,Lost in the round of 16
2010,9,9,France,A,5,Lost in group play
2010,10,10,Croatia,None,6,Didn't make World Cup :-(
2010,11,11,Russia,None,6,Didn't make World Cup :-(
2010,12,12,Egypt,None,6,Didn't make World Cup :-(
2010,13,13,Greece,B,5,Lost in group play
2010,14,14,USA,C,4,Lost in the round of 16
2010,15,15,Serbia,D,5,Lost in group play
2010,16,16,Uruguay,A,2,Lost in the Semifinals
2010,17,17,Mexico,A,4,Lost in the round of 16
2010,18,18,Chile,H,4,Lost in the round of 16
2010,19,19,Cameroon,E,5,Lost in group play
2010,20,20,Australia,D,5,Lost in group play
2010,21,21,Nigeria,B,5,Lost in group play
2010,22,22,Norway,None,6,Didn't make World Cup :-(
2010,23,23,Ukraine,None,6,Didn't make World Cup :-(
2010,24,24,Switzerland,H,5,Lost in group play
2010,25,25,Slovenia,C,5,Lost in group play
2010,26,26,Israel,None,6,Didn't make World Cup :-(
2010,27,27,Cote d'Ivoire,G,5,Lost in group play
2010,28,28,Romania,None,6,Didn't make World Cup :-(
2010,29,29,Turkey,None,6,Didn't make World Cup :-(
2010,30,30,Algeria,C,5,Lost in group play
2010,31,31,Paraguay,F,3,Lost in the Quarterfinals
2010,32,32,Ghana,D,3,Lost in the Quarterfinals
2010,33,33,Czech Republic,None,6,Didn't make World Cup :-(
2010,34,34,Slovakia,F,4,Lost in the round of 16
2010,35,35,Colombia,None,6,Didn't make World Cup :-(
2010,36,36,Denmark,E,5,Lost in group play
2010,37,37,Sweden,None,6,Didn't make World Cup :-(
2010,38,38,Honduras,H,5,Lost in group play
2010,39,39,Bulgaria,None,6,Didn't make World Cup :-(
2010,40,40,Costa Rica,None,6,Didn't make World Cup :-(
2010,41,41,Republic of Ireland,None,6,Didn't make World Cup :-(
2010,42,42,Gabon,None,6,Didn't make World Cup :-(
2010,43,43,Scotland,None,6,Didn't make World Cup :-(
2010,44,44,Ecuador,None,6,Didn't make World Cup :-(
2010,45,45,Japan,E,4,Lost in the round of 16
2010,46,46,Latvia,None,6,Didn't make World Cup :-(
2010,47,47,Korea,B,4,Lost in the round of 16
2010,48,48,Burkina Faso,None,6,Didn't make World Cup :-(
2010,49,49,Venezuela,None,6,Didn't make World Cup :-(
2010,50,49,Lithuania,None,6,Didn't make World Cup :-(
2010,51,51,Bosnia-Herzegovina,None,6,Didn't make World Cup :-(
2010,52,52,Finland,None,6,Didn't make World Cup :-(
2010,53,53,Peru,None,6,Didn't make World Cup :-(
2010,54,54,Mali,None,6,Didn't make World Cup :-(
2010,55,55,Tunisia,None,6,Didn't make World Cup :-(
