company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,raised_amount_usd
/company/5min,5min Media,games_video,USA,NY,New York,NY,angel,2007-04-01,300000
/company/5min,5min Media,games_video,USA,NY,New York,NY,series-a,2007-11-01,5000000
/company/5min,5min Media,games_video,USA,NY,New York,NY,series-b,2009-07-23,7500000
/company/5o9,5o9,software,USA,CO,Denver,Boulder,angel,2013-05-14,50000
/company/5th-finger,5th Finger,mobile,USA,CA,SF Bay,San Francisco,series-a,2008-06-13,7000000
/company/64-pixels,64 Pixels,web,USA,CA,SF Bay,Mountain View,angel,2010-10-01,100000
/company/6connect,6connect,network_hosting,USA,CA,SF Bay,San Francisco,series-a,2011-08-23,2000000
/company/6fusion,6fusion,enterprise,USA,NC,Raleigh-Durham,Raleigh,series-a,2010-08-23,3000000
/company/6fusion,6fusion,enterprise,USA,NC,Raleigh-Durham,Raleigh,series-b,2011-08-22,7000000
/company/6fusion,6fusion,enterprise,USA,NC,Raleigh-Durham,Raleigh,other,2013-07-25,2750000
/company/6th-sense-analytics,6th Sense Analytics,software,USA,NC,Raleigh-Durham,Morrisville,series-a,2007-01-31,5000000
/company/6th-sense-analytics,6th Sense Analytics,software,USA,NC,Raleigh-Durham,Morrisville,venture,2005-11-11,1700000
/company/7-billion-people,7 Billion People,software,USA,TX,Austin,Austin,series-a,2009-02-09,3800000
/company/7-billion-people,7 Billion People,software,USA,TX,Austin,Austin,venture,2010-02-18,1423902
/company/7-billion-people,7 Billion People,software,USA,TX,Austin,Austin,other,2012-07-13,2368902
/company/7-billion-people,7 Billion People,software,USA,TX,Austin,Austin,angel,2012-06-19,360000
/company/7-star-entertainment,7 Star Entertainment,games_video,USA,FL,Fort Lauderdale,Pompano Beach,venture,2010-07-14,10000000
/company/71lbs,71lbs,analytics,USA,FL,Chicago,Chicago,angel,2012-06-01,75000
/company/71lbs,71lbs,analytics,USA,FL,Chicago,Chicago,angel,2013-01-01,600000
/company/71lbs,71lbs,analytics,USA,FL,Chicago,Chicago,angel,2013-01-08,75000
/company/71lbs,71lbs,analytics,USA,FL,Chicago,Chicago,angel,2012-03-20,
/company/72lux,72Lux,software,USA,NY,New York,New York City,angel,2012-01-01,1400000
/company/7ac-technologies,7AC Technologies,cleantech,USA,MA,Boston,Beverly,other,2011-12-13,460000
/company/7ac-technologies,7AC Technologies,cleantech,USA,MA,Boston,Beverly,venture,2012-03-15,2400000
/company/7ac-technologies,7AC Technologies,cleantech,USA,MA,Boston,Beverly,series-b,2012-07-25,4500000
/company/7billionideas,7billionideas,social,USA,,United States - Other,,venture,2012-04-07,47566
/company/7signal-solutions,7signal Solutions,network_hosting,USA,OH,Akron,Akron,angel,2013-07-11,250000
/company/7summits,7Summits,consulting,USA,WI,Milwaukee,MIlwaukee,angel,2010-01-01,600000
/company/8020publishing,8020 Media,web,USA,CA,SF Bay,San Francisco,angel,2006-01-01,
/company/80th-street-residence-facc-fund-i,80th Street Residence FACC Fund I,health,USA,CA,Los Angeles,Newport Beach,venture,2011-11-18,5100000
/company/8dworld,8D World,games_video,USA,MA,Boston,Woburn,series-a,2008-03-01,7000000
/company/8dworld,8D World,games_video,USA,MA,Boston,Woburn,series-b,2010-12-09,5250000
/company/alvenda-inc,8thBridge,ecommerce,USA,MN,Minneapolis,Minneapolis,series-a,2010-01-25,5000000
/company/alvenda-inc,8thBridge,ecommerce,USA,MN,Minneapolis,Minneapolis,series-b,2011-03-21,10000000
/company/8tracks,8tracks Radio,music,USA,CA,SF Bay,San Francisco,angel,2011-10-01,1200000
/company/8x8-inc,8x8 Inc,network_hosting,USA,CA,SF Bay,San Jose,private-equity,2011-10-03,30608728
