permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/company/access-closure,Access Closure,medical,9999998,operating,USA,CA,SF Bay,Mountain View,1,2002-01-01,2010-03-03,2010-03-03,
/company/access-information-management,Access Information Management,enterprise,,operating,USA,CA,SF Bay,Livermore,1,,2011-09-07,2011-09-07,
/company/access-intelligence,Access Intelligence,news,7380000,operating,USA,MD,Washington DC,Rockville,2,,2009-07-01,2010-03-01,2012-01-01
/company/access-media,Access Media 3,security,30000000,operating,USA,IL,Oakbrook,Oakbrook,1,2007-01-01,2012-02-09,2012-02-09,1998-01-01
/company/access-mediquip,Access MediQuip,medical,46900000,operating,USA,FL,Orlando,Lake Mary,1,1997-01-01,2013-01-13,2013-01-13,
/company/access-mobile,access mobile,mobile,112500,operating,USA,CO,Denver,Denver,1,,2013-06-26,2013-06-26,
/company/accessnetwork,Access Network,advertising,3200000,operating,USA,NY,New York,New York,2,2008-01-01,2010-04-01,2011-04-01,2008-01-01
/company/access-northeast,Access Northeast,network_hosting,1999998,operating,USA,MA,Boston,Marlborough,1,1999-01-01,2009-11-23,2009-11-23,2010-06-23
/company/access-pharmaceuticals,Access Pharmaceuticals,biotech,15581502,operating,USA,TX,Dallas,Dallas,2,,2011-11-14,2012-11-06,
/company/access-scientific,Access Scientific,medical,14000001,operating,USA,CA,San Diego,San Diego,2,2004-01-01,2011-06-09,2012-06-21,2012-11-07
/company/accessdata,AccessData,enterprise,45000000,operating,USA,UT,Salt Lake City,Lindon,2,1987-01-01,2013-03-15,2013-03-15,2013-03-15
/company/accion-international,Accion,nonprofit,23000000,operating,USA,MA,Boston,Boston,2,1961-01-01,2011-12-07,2012-06-26,2012-01-01
