school,position,county_code,conference
Wagner Seahawks,lb,0,northeast
Hawaii Warriors,lb,0,mountain-west
Wyoming Cowboys,lb,0,mountain-west
Wyoming Cowboys,lb,0,mountain-west
Hawaii Warriors,lb,0,mountain-west
Wyoming Cowboys,lb,0,mountain-west
William & Mary Tribe,lb,0,caa
Western Michigan Broncos,lb,0,mid-american
Western Michigan Broncos,lb,0,mid-american
Western Michigan Broncos,lb,0,mid-american
Western Michigan Broncos,lb,0,mid-american
Western Kentucky Hilltoppers,lb,0,sun-belt
Western Kentucky Hilltoppers,lb,0,sun-belt
Weber State Wildcats,lb,0,big-sky
Utah Utes,lb,0,pac-12
UNLV Rebels,lb,0,mountain-west
UNLV Rebels,lb,0,mountain-west
UCLA Bruins,lb,0,pac-12
Texas A&M Aggies,lb,0,sec
Stephen F. Austin Lumberjacks,lb,0,southland
Stanford Cardinal,lb,0,pac-12
St. Francis U Red Flash,lb,0,northeast
Southern Miss Golden Eagles,lb,0,conference-usa
Southern Miss Golden Eagles,lb,0,conference-usa
Southern Methodist Mustangs,lb,0,american-athletic
South Carolina State Bulldogs,lb,0,meac
San Jose State Spartans,lb,0,mountain-west
San Diego Toreros,lb,0,pioneer
Sacred Heart Pioneers,lb,0,northeast
Prairie View A&M Panthers,lb,0,swac
Oregon State Beavers,lb,0,pac-12
Oregon Ducks,lb,0,pac-12
North Texas Mean Green,lb,0,conference-usa
North Dakota State Bison,lb,0,missouri-valley
North Dakota,lb,0,big-sky
North Carolina A&T Aggies,lb,0,meac
New Mexico State Aggies,lb,0,fbs-independents
Murray State Racers,lb,0,ohio-valley
Morehead State Eagles,lb,0,pioneer
Missouri Tigers,lb,0,sec
Mississippi Valley State Delta Devils,lb,0,swac
Mercer Bears,lb,0,pioneer
Memphis Tigers,lb,0,american-athletic
Memphis Tigers,lb,0,american-athletic
Marist Red Foxes,lb,0,pioneer
Louisville Cardinals,lb,0,american-athletic
Indiana Hoosiers,lb,0,big-ten
Indiana Hoosiers,lb,0,big-ten
Idaho State Bengals,lb,0,big-sky
Houston Baptist Huskies,lb,0,fcs-independents
Grambling State Tigers,lb,0,swac
Grambling State Tigers,lb,0,swac
Fresno State Bulldogs,lb,0,mountain-west
Florida State Seminoles,lb,0,acc
East Carolina Pirates,lb,0,conference-usa
Duquesne Dukes,lb,0,northeast
Davidson Wildcats,lb,0,pioneer
Davidson Wildcats,lb,0,pioneer
Cornell Big Red,lb,0,ivy
Connecticut Huskies,lb,0,american-athletic
Connecticut Huskies,lb,0,american-athletic
Columbia Lions,lb,0,ivy
Charlotte 49ers,lb,0,fcs-independents
Central Arkansas Bears,lb,0,southland
Central Arkansas Bears,lb,0,southland
California Golden Bears,lb,0,pac-12
Butler Bulldogs,lb,0,pioneer
Bucknell Bison,lb,0,patriot-league
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Ball State Cardinals,lb,0,mid-american
Arkansas State Red Wolves,lb,0,sun-belt
Arizona Wildcats,lb,0,pac-12
Alcorn State Braves,lb,0,swac
Air Force Falcons,lb,0,mountain-west
Oregon State Beavers,k-p,0,pac-12
Louisiana-Lafayette Ragin' Cajuns,k-p,0,sun-belt
UCF Knights,k-p,0,american-athletic
Wagner Seahawks,k-p,0,northeast
Virginia Tech Hokies,k-p,0,acc
Utah Utes,k-p,0,pac-12
USC Trojans,k-p,0,pac-12
UCLA Bruins,k-p,0,pac-12
UCF Knights,k-p,0,american-athletic
Towson Tigers,k-p,0,caa
Texas Longhorns,k-p,0,big-12
Tennessee Volunteers,k-p,0,sec
Tennessee State Tigers,k-p,0,ohio-valley
Stetson Hatters,k-p,0,pioneer
South Dakota Coyotes,k-p,0,missouri-valley
San Diego Toreros,k-p,0,pioneer
Sam Houston State Bearkats,k-p,0,southland
Sam Houston State Bearkats,k-p,0,southland
Sacred Heart Pioneers,k-p,0,northeast
Presbyterian Blue Hose,k-p,0,big-south
Penn State Nittany Lions,k-p,0,big-ten
Ole Miss Rebels,k-p,0,sec
Ole Miss Rebels,k-p,0,sec
Ole Miss Rebels,k-p,0,sec
Old Dominion Monarchs,k-p,0,fbs-independents
Ohio State Buckeyes,k-p,0,big-ten
Notre Dame Fighting Irish,k-p,0,fbs-independents
Northern Illinois Huskies,k-p,0,mid-american
New Hampshire Wildcats,k-p,0,caa
Nevada Wolf Pack,k-p,0,mountain-west
Mississippi Valley State Delta Devils,k-p,0,swac
Minnesota Golden Gophers,k-p,0,big-ten
Memphis Tigers,k-p,0,american-athletic
Memphis Tigers,k-p,0,american-athletic
Memphis Tigers,k-p,0,american-athletic
Memphis Tigers,k-p,0,american-athletic
Maryland Terrapins,k-p,0,acc
Liberty Flames,k-p,0,big-south
Liberty Flames,k-p,0,big-south
Jackson State Tigers,k-p,0,swac
Indiana Hoosiers,k-p,0,big-ten
Illinois State Redbirds,k-p,0,missouri-valley
Houston Cougars,k-p,0,american-athletic
Houston Cougars,k-p,0,american-athletic
Houston Baptist Huskies,k-p,0,fcs-independents
Grambling State Tigers,k-p,0,swac
Georgia Tech Yellow Jackets,k-p,0,acc
Gardner-Webb Runnin' Bulldogs,k-p,0,big-south
Furman Paladins,k-p,0,southern
Furman Paladins,k-p,0,southern
Fordham Rams,k-p,0,patriot-league
Eastern Kentucky Colonels,k-p,0,ohio-valley
East Carolina Pirates,k-p,0,conference-usa
Delaware State Hornets,k-p,0,meac
Delaware State Hornets,k-p,0,meac
Columbia Lions,k-p,0,ivy
Colorado Buffaloes,k-p,0,pac-12
Citadel Bulldogs,k-p,0,southern
Campbell Fighting Camels,k-p,0,pioneer
California Golden Bears,k-p,0,pac-12
Baylor Bears,k-p,0,big-12
Ball State Cardinals,k-p,0,mid-american
Ball State Cardinals,k-p,0,mid-american
Ball State Cardinals,k-p,0,mid-american
Ball State Cardinals,k-p,0,mid-american
Ball State Cardinals,k-p,0,mid-american
Ball State Cardinals,k-p,0,mid-american
Arkansas-Pine Bluff Golden Lions,k-p,0,swac
Arkansas State Red Wolves,k-p,0,sun-belt
Arkansas State Red Wolves,k-p,0,sun-belt
Arkansas Razorbacks,k-p,0,sec
Arizona State Sun Devils,k-p,0,pac-12
Alcorn State Braves,k-p,0,swac
Alabama A&M Bulldogs,k-p,0,swac
Akron Zips,k-p,0,mid-american
Gardner-Webb Runnin' Bulldogs,dl,0,big-south
Baylor Bears,dl,0,big-12
North Carolina Tar Heels,dl,0,acc
Boston College Eagles,dl,0,acc
Virginia Cavaliers,dl,0,acc
Virginia Cavaliers,dl,0,acc
Michigan State Spartans,dl,0,big-ten
Michigan State Spartans,dl,0,big-ten
Miami (OH) RedHawks,dl,0,mid-american
Iowa Hawkeyes,dl,0,big-ten
Eastern Michigan Eagles,dl,0,mid-american
Delaware State Hornets,dl,0,meac
Gardner-Webb Runnin' Bulldogs,dl,0,big-south
UCF Knights,dl,0,american-athletic
Texas State Bobcats,dl,0,sun-belt
Boise State Broncos,dl,0,mountain-west
Rice Owls,dl,0,conference-usa
Youngstown State Penguins,dl,0,missouri-valley
Wyoming Cowboys,dl,0,mountain-west
Wyoming Cowboys,dl,0,mountain-west
Wyoming Cowboys,dl,0,mountain-west
Western Michigan Broncos,dl,0,mid-american
Western Carolina Catamounts,dl,0,southern
Western Carolina Catamounts,dl,0,southern
Washington State Cougars,dl,0,pac-12
Washington State Cougars,dl,0,pac-12
Washington State Cougars,dl,0,pac-12
Washington State Cougars,dl,0,pac-12
Washington State Cougars,dl,0,pac-12
Virginia Military Institute Keydets,dl,0,big-south
Utah State Aggies,dl,0,mountain-west
Utah State Aggies,dl,0,mountain-west
UNLV Rebels,dl,0,mountain-west
UCLA Bruins,dl,0,pac-12
UCF Knights,dl,0,american-athletic
UCF Knights,dl,0,american-athletic
UCF Knights,dl,0,american-athletic
UAB Blazers,dl,0,conference-usa
Texas Longhorns,dl,0,big-12
Texas A&M Aggies,dl,0,sec
Tennessee State Tigers,dl,0,ohio-valley
Stetson Hatters,dl,0,pioneer
Stetson Hatters,dl,0,pioneer
St. Francis U Red Flash,dl,0,northeast
Southern Utah Thunderbirds,dl,0,big-sky
South Florida Bulls,dl,0,american-athletic
South Dakota Coyotes,dl,0,missouri-valley
South Carolina State Bulldogs,dl,0,meac
South Carolina State Bulldogs,dl,0,meac
San Diego Toreros,dl,0,pioneer
San Diego Toreros,dl,0,pioneer
Samford Bulldogs,dl,0,southern
Sacred Heart Pioneers,dl,0,northeast
Sacred Heart Pioneers,dl,0,northeast
Sacred Heart Pioneers,dl,0,northeast
Pittsburgh Panthers,dl,0,acc
Pennsylvania Quakers,dl,0,ivy
Oregon State Beavers,dl,0,pac-12
Ohio Bobcats,dl,0,mid-american
North Carolina Tar Heels,dl,0,acc
North Carolina State Wolfpack,dl,0,acc
New Hampshire Wildcats,dl,0,caa
